feature,importance,signed,case_name,feature_tag,feature_name,model,seed,importance_std
fai_irrev_1C__W30__SOC5,0.03088337802506439,-0.03088337802506439,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,0,
fai_irrev_2.5C__W30__SOC5,0.014022641621942116,-0.014022641621942116,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,0,
fai_irrev_1.5C__W30__SOC5,0.013480391524907159,0.013480391524907159,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,0,
fai_irrev_2C__W30__SOC5,0.005464731962400578,-0.005464731962400578,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,0,
fai_irrev_0.5C__W30__SOC5,0.0037584791857444345,0.0037584791857444345,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,0,
fai_irrev_1.5C__W30__SOC5,0.02769587253085274,0.02769587253085274,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,1,
fai_irrev_1C__W30__SOC5,0.021759870530556023,-0.021759870530556023,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,1,
fai_irrev_2.5C__W30__SOC5,0.02000217096143309,-0.02000217096143309,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,1,
fai_irrev_2C__W30__SOC5,0.013296483537297723,-0.013296483537297723,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,1,
fai_irrev_0.5C__W30__SOC5,0.0085210022227751,-0.0085210022227751,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,1,
fai_irrev_1C__W30__SOC5,0.031893204949410114,-0.031893204949410114,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,2,
fai_irrev_1.5C__W30__SOC5,0.02153924039885328,0.02153924039885328,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,2,
fai_irrev_0.5C__W30__SOC5,0.009734315955468696,-0.009734315955468696,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,2,
fai_irrev_2C__W30__SOC5,0.008951247783727561,-0.008951247783727561,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,2,
fai_irrev_2.5C__W30__SOC5,0.006527847639325081,-0.006527847639325081,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,2,
fai_irrev_1C__W30__SOC5,0.02796950955124603,-0.02796950955124603,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,3,
fai_irrev_1.5C__W30__SOC5,0.02054525631627733,0.02054525631627733,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,3,
fai_irrev_2C__W30__SOC5,0.01781142959760324,-0.01781142959760324,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,3,
fai_irrev_2.5C__W30__SOC5,0.00893114645110872,-0.00893114645110872,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,3,
fai_irrev_0.5C__W30__SOC5,0.0023804511726098977,-0.0023804511726098977,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,3,
fai_irrev_1C__W30__SOC5,0.03260723952307652,-0.03260723952307652,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,4,
fai_irrev_2.5C__W30__SOC5,0.01029535675859427,-0.01029535675859427,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,4,
fai_irrev_1.5C__W30__SOC5,0.0068506776372183565,0.0068506776372183565,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,4,
fai_irrev_0.5C__W30__SOC5,0.002374060630272192,0.002374060630272192,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,4,
fai_irrev_2C__W30__SOC5,0.0012889569375909282,-0.0012889569375909282,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,4,
fai_irrev_1C__W30__SOC5,0.031243172700008134,-0.031243172700008134,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,5,
fai_irrev_1.5C__W30__SOC5,0.01994689822679189,0.01994689822679189,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,5,
fai_irrev_2C__W30__SOC5,0.00929230487855557,-0.00929230487855557,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,5,
fai_irrev_2.5C__W30__SOC5,0.007186952687674149,-0.007186952687674149,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,5,
fai_irrev_0.5C__W30__SOC5,0.0058666091189679935,-0.0058666091189679935,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,5,
fai_irrev_1C__W30__SOC5,0.037012804281157476,-0.037012804281157476,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,6,
fai_irrev_1.5C__W30__SOC5,0.027471380406484964,0.027471380406484964,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,6,
fai_irrev_2C__W30__SOC5,0.016602350558894828,-0.016602350558894828,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,6,
fai_irrev_2.5C__W30__SOC5,0.00833043419542599,-0.00833043419542599,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,6,
fai_irrev_0.5C__W30__SOC5,0.0013188274674845882,-0.0013188274674845882,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,6,
fai_irrev_1C__W30__SOC5,0.025407418538487065,-0.025407418538487065,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,7,
fai_irrev_2.5C__W30__SOC5,0.021518038136030097,-0.021518038136030097,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,7,
fai_irrev_1.5C__W30__SOC5,0.017243933126163992,0.017243933126163992,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,7,
fai_irrev_0.5C__W30__SOC5,0.006554471627801009,-0.006554471627801009,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,7,
fai_irrev_2C__W30__SOC5,0.0007928383185366929,0.0007928383185366929,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,7,
fai_irrev_1C__W30__SOC5,0.029823514492710777,-0.029823514492710777,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,8,
fai_irrev_2.5C__W30__SOC5,0.014858185523685322,-0.014858185523685322,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,8,
fai_irrev_1.5C__W30__SOC5,0.013183541607496472,0.013183541607496472,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,8,
fai_irrev_0.5C__W30__SOC5,0.006053615808095467,-0.006053615808095467,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,8,
fai_irrev_2C__W30__SOC5,0.003032266024007589,0.003032266024007589,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,8,
fai_irrev_1C__W30__SOC5,0.02810419273860358,-0.02810419273860358,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,9,
fai_irrev_1.5C__W30__SOC5,0.019566723034515315,0.019566723034515315,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,9,
fai_irrev_0.5C__W30__SOC5,0.012600008724078272,-0.012600008724078272,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,9,
fai_irrev_2.5C__W30__SOC5,0.009205790799532253,-0.009205790799532253,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,9,
fai_irrev_2C__W30__SOC5,0.005211759684831713,-0.005211759684831713,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,9,
fai_irrev_1.5C__W30__SOC5,0.02432302032618653,0.02432302032618653,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,10,
fai_irrev_0.5C__W30__SOC5,0.018442987811510214,-0.018442987811510214,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,10,
fai_irrev_1C__W30__SOC5,0.014558804879210057,-0.014558804879210057,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,10,
fai_irrev_2C__W30__SOC5,0.01422262797574088,-0.01422262797574088,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,10,
fai_irrev_2.5C__W30__SOC5,0.010604185587840015,-0.010604185587840015,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,10,
fai_irrev_1C__W30__SOC5,0.03902755735401821,-0.03902755735401821,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,11,
fai_irrev_1.5C__W30__SOC5,0.019341960806193468,0.019341960806193468,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,11,
fai_irrev_2.5C__W30__SOC5,0.016664722990405216,-0.016664722990405216,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,11,
fai_irrev_0.5C__W30__SOC5,0.005843980774537836,0.005843980774537836,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,11,
fai_irrev_2C__W30__SOC5,0.004025408998358846,-0.004025408998358846,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,11,
fai_irrev_2.5C__W30__SOC5,0.01894709407959063,-0.01894709407959063,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,12,
fai_irrev_1C__W30__SOC5,0.01147904021078533,-0.01147904021078533,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,12,
fai_irrev_1.5C__W30__SOC5,0.0064689312900159225,-0.0064689312900159225,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,12,
fai_irrev_2C__W30__SOC5,0.002176616365743992,0.002176616365743992,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,12,
fai_irrev_0.5C__W30__SOC5,0.0008703265537036362,-0.0008703265537036362,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,12,
fai_irrev_1C__W30__SOC5,0.032514606291625836,-0.032514606291625836,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,13,
fai_irrev_2.5C__W30__SOC5,0.020607145070513255,-0.020607145070513255,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,13,
fai_irrev_2C__W30__SOC5,0.01418619567450668,0.01418619567450668,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,13,
fai_irrev_1.5C__W30__SOC5,0.013353455868834633,0.013353455868834633,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,13,
fai_irrev_0.5C__W30__SOC5,0.009054320370124278,-0.009054320370124278,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,13,
fai_irrev_1C__W30__SOC5,0.03125842828449543,-0.03125842828449543,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,14,
fai_irrev_1.5C__W30__SOC5,0.02482933921662371,0.02482933921662371,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,14,
fai_irrev_2C__W30__SOC5,0.015842903489825262,-0.015842903489825262,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,14,
fai_irrev_2.5C__W30__SOC5,0.008634042104606053,-0.008634042104606053,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,14,
fai_irrev_0.5C__W30__SOC5,0.004984114632948184,-0.004984114632948184,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,14,
fai_irrev_1C__W30__SOC5,0.04546295639357552,-0.04546295639357552,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,15,
fai_irrev_1.5C__W30__SOC5,0.01944700199832693,0.01944700199832693,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,15,
fai_irrev_2C__W30__SOC5,0.007979231325037906,-0.007979231325037906,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,15,
fai_irrev_2.5C__W30__SOC5,0.004823134432496936,-0.004823134432496936,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,15,
fai_irrev_0.5C__W30__SOC5,0.0037915973242991148,0.0037915973242991148,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,15,
fai_irrev_2.5C__W30__SOC5,0.025378599466652784,-0.025378599466652784,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,16,
fai_irrev_1.5C__W30__SOC5,0.022574354124988618,0.022574354124988618,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,16,
fai_irrev_1C__W30__SOC5,0.020378713574417208,-0.020378713574417208,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,16,
fai_irrev_2C__W30__SOC5,0.005702653476900754,-0.005702653476900754,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,16,
fai_irrev_0.5C__W30__SOC5,0.005455087225248835,-0.005455087225248835,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,16,
fai_irrev_1.5C__W30__SOC5,0.032248715673169996,0.032248715673169996,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,17,
fai_irrev_1C__W30__SOC5,0.023981508504078982,-0.023981508504078982,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,exp1__SOC05_W30_all_crates_05_10_15_20_25,linear,17,
