feature,importance,signed,case_name,feature_tag,feature_name,model,seed,importance_std
fai_irrev_2.5C__W100__SOC5,0.0566506636804464,-0.0566506636804464,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,0,
fai_irrev_2.5C__W700__SOC5,0.024939333400574745,0.024939333400574745,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,0,
fai_irrev_2.5C__W30__SOC5,0.018167083891254536,-0.018167083891254536,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,0,
fai_irrev_2.5C__W70__SOC5,0.013756632915493117,0.013756632915493117,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,0,
fai_irrev_2.5C__W300__SOC5,0.009228021104584348,0.009228021104584348,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,0,
fai_irrev_2.5C__W500__SOC5,0.0020686135401331122,-0.0020686135401331122,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,0,
fai_irrev_2.5C__W1000__SOC5,0.0013259908475861278,0.0013259908475861278,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,0,
fai_irrev_2.5C__W5000__SOC5,0.0013240727916673074,-0.0013240727916673074,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,0,
fai_irrev_2.5C__W50__SOC5,0.0006316937065450915,-0.0006316937065450915,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,0,
fai_irrev_2.5C__W3000__SOC5,0.00033440004855455393,-0.00033440004855455393,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,0,
fai_irrev_2.5C__W100__SOC5,0.05352131757904487,-0.05352131757904487,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,1,
fai_irrev_2.5C__W30__SOC5,0.024557489384736186,-0.024557489384736186,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,1,
fai_irrev_2.5C__W700__SOC5,0.015939084928493354,0.015939084928493354,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,1,
fai_irrev_2.5C__W300__SOC5,0.01568024596069562,0.01568024596069562,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,1,
fai_irrev_2.5C__W3000__SOC5,0.01176451432396045,-0.01176451432396045,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,1,
fai_irrev_2.5C__W1000__SOC5,0.008998236748330217,0.008998236748330217,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,1,
fai_irrev_2.5C__W70__SOC5,0.008920675132126285,0.008920675132126285,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,1,
fai_irrev_2.5C__W50__SOC5,0.005006316467374531,-0.005006316467374531,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,1,
fai_irrev_2.5C__W500__SOC5,0.004630613564734392,0.004630613564734392,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,1,
fai_irrev_2.5C__W5000__SOC5,0.004276815326602583,0.004276815326602583,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,1,
fai_irrev_2.5C__W100__SOC5,0.05819257756247872,-0.05819257756247872,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,2,
fai_irrev_2.5C__W700__SOC5,0.03196121240667899,0.03196121240667899,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,2,
fai_irrev_2.5C__W30__SOC5,0.024414749312262507,-0.024414749312262507,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,2,
fai_irrev_2.5C__W300__SOC5,0.021154854813014635,0.021154854813014635,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,2,
fai_irrev_2.5C__W3000__SOC5,0.014898793446581798,-0.014898793446581798,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,2,
fai_irrev_2.5C__W50__SOC5,0.010542788876695422,-0.010542788876695422,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,2,
fai_irrev_2.5C__W70__SOC5,0.007611740240117846,0.007611740240117846,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,2,
fai_irrev_2.5C__W5000__SOC5,0.005447638856368029,0.005447638856368029,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,2,
fai_irrev_2.5C__W500__SOC5,0.0028536623976422168,0.0028536623976422168,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,2,
fai_irrev_2.5C__W1000__SOC5,0.0022650379617098577,0.0022650379617098577,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,2,
fai_irrev_2.5C__W100__SOC5,0.05563827861015014,-0.05563827861015014,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,3,
fai_irrev_2.5C__W700__SOC5,0.029056617249165154,0.029056617249165154,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,3,
fai_irrev_2.5C__W50__SOC5,0.02187555521883755,-0.02187555521883755,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,3,
fai_irrev_2.5C__W30__SOC5,0.018621524896878204,-0.018621524896878204,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,3,
fai_irrev_2.5C__W300__SOC5,0.01824760146326319,0.01824760146326319,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,3,
fai_irrev_2.5C__W3000__SOC5,0.01707872155684389,-0.01707872155684389,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,3,
fai_irrev_2.5C__W70__SOC5,0.01029093392275712,0.01029093392275712,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,3,
fai_irrev_2.5C__W1000__SOC5,0.007746237808599325,0.007746237808599325,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,3,
fai_irrev_2.5C__W500__SOC5,0.0018178861522057978,0.0018178861522057978,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,3,
fai_irrev_2.5C__W5000__SOC5,0.0017692734375540152,0.0017692734375540152,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,3,
fai_irrev_2.5C__W100__SOC5,0.06242483881753904,-0.06242483881753904,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,4,
fai_irrev_2.5C__W30__SOC5,0.01946468904764663,-0.01946468904764663,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,4,
fai_irrev_2.5C__W300__SOC5,0.01641187360644638,0.01641187360644638,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,4,
fai_irrev_2.5C__W700__SOC5,0.015499494734064305,0.015499494734064305,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,4,
fai_irrev_2.5C__W500__SOC5,0.0129263029152631,0.0129263029152631,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,4,
fai_irrev_2.5C__W3000__SOC5,0.008949024681357212,-0.008949024681357212,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,4,
fai_irrev_2.5C__W70__SOC5,0.008358822225200522,0.008358822225200522,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,4,
fai_irrev_2.5C__W1000__SOC5,0.00610685416006618,0.00610685416006618,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,4,
fai_irrev_2.5C__W50__SOC5,0.005793527868628435,-0.005793527868628435,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,4,
fai_irrev_2.5C__W5000__SOC5,0.0027216607310792205,0.0027216607310792205,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,4,
fai_irrev_2.5C__W100__SOC5,0.05652485423672612,-0.05652485423672612,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,5,
fai_irrev_2.5C__W30__SOC5,0.031225922365945978,-0.031225922365945978,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,5,
fai_irrev_2.5C__W300__SOC5,0.02926577958108974,0.02926577958108974,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,5,
fai_irrev_2.5C__W700__SOC5,0.026500070181957977,0.026500070181957977,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,5,
fai_irrev_2.5C__W3000__SOC5,0.009327413688618806,-0.009327413688618806,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,5,
fai_irrev_2.5C__W70__SOC5,0.004244614628141394,0.004244614628141394,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,5,
fai_irrev_2.5C__W1000__SOC5,0.0036715490677257327,0.0036715490677257327,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,5,
fai_irrev_2.5C__W50__SOC5,0.0032835054204946547,-0.0032835054204946547,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,5,
fai_irrev_2.5C__W500__SOC5,0.0003560951518305399,-0.0003560951518305399,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,5,
