case_name,feature_tag,feature_name,model,feature,importance_median,importance_std,importance_mean
exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,fai_irrev_2.5C__W100__SOC5,0.057997186559090655,0.010336502611135995,0.058817861205764224
exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,fai_irrev_2.5C__W30__SOC5,0.02457815601513992,0.006376640202958824,0.02434062745205624
exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,fai_irrev_2.5C__W300__SOC5,0.02240625431770775,0.008079751890799862,0.022165159612287204
exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,fai_irrev_2.5C__W700__SOC5,0.021068589195203824,0.006283366005712906,0.021507832114239595
exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,fai_irrev_2.5C__W3000__SOC5,0.010729012619272671,0.006695014985578466,0.011498307491693947
exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,fai_irrev_2.5C__W70__SOC5,0.008922441392276586,0.00220320398553185,0.009191452134157771
exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,fai_irrev_2.5C__W1000__SOC5,0.006635591621497308,0.00419599616965615,0.007285820404607254
exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,fai_irrev_2.5C__W50__SOC5,0.005281537292521513,0.005432709701937851,0.006569202919278324
exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,fai_irrev_2.5C__W500__SOC5,0.0045222900256435515,0.004106471382418869,0.005244809677785216
exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,linear,fai_irrev_2.5C__W5000__SOC5,0.004029883306377331,0.0040637882246571345,0.0052961694630266395
exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,ridge,fai_irrev_2.5C__W100__SOC5,0.028871517957776108,0.0036836477963837545,0.028557138839951163
exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,ridge,fai_irrev_2.5C__W30__SOC5,0.02508994202896883,0.0038891511985888567,0.024720916376596014
exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,ridge,fai_irrev_2.5C__W700__SOC5,0.011819142919236738,0.0036479948006612633,0.01219375747037069
exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,ridge,fai_irrev_2.5C__W50__SOC5,0.008476169623228856,0.004798682129577253,0.0087605529845861
exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,ridge,fai_irrev_2.5C__W300__SOC5,0.008019458257974541,0.0037233182839223234,0.007697226527457347
exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,ridge,fai_irrev_2.5C__W70__SOC5,0.0076645376131839185,0.001902705745739789,0.007791769092591171
exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,ridge,fai_irrev_2.5C__W1000__SOC5,0.0056177398580825036,0.0022935067084581067,0.005637821908239558
exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,exp2__SOC05_2p5C__all_widths,ridge,fai_irrev_2.5C__W3000__SOC5,0.0028002802884761297,0.001928333416070508,0.0030058491751027254
