feature,importance,signed,case_name,feature_tag,feature_name,model,seed,importance_std
fai_irrev_0.5C__W50__SOC65,0.009991464529119802,-0.009991464529119802,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,0,
fai_irrev_0.5C__W50__SOC70,0.00043641055618912213,-0.00043641055618912213,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,0,
fai_irrev_0.5C__W50__SOC65,0.010580642172132842,-0.010580642172132842,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,1,
fai_irrev_0.5C__W50__SOC70,0.001108241582142584,-0.001108241582142584,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,1,
fai_irrev_0.5C__W50__SOC70,0.005901016388559646,-0.005901016388559646,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,2,
fai_irrev_0.5C__W50__SOC65,0.003278325013382056,-0.003278325013382056,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,2,
fai_irrev_0.5C__W50__SOC70,0.008159039740376387,-0.008159039740376387,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,3,
fai_irrev_0.5C__W50__SOC65,0.002274123686225536,-0.002274123686225536,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,3,
fai_irrev_0.5C__W50__SOC70,0.0045600860000618035,-0.0045600860000618035,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,4,
fai_irrev_0.5C__W50__SOC65,0.0038148434024480845,-0.0038148434024480845,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,4,
fai_irrev_0.5C__W50__SOC70,0.004866616579990577,-0.004866616579990577,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,5,
fai_irrev_0.5C__W50__SOC65,0.0038166277396005353,-0.0038166277396005353,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,5,
fai_irrev_0.5C__W50__SOC65,0.00883771241903464,-0.00883771241903464,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,6,
fai_irrev_0.5C__W50__SOC70,0.00023796264686808867,-0.00023796264686808867,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,6,
fai_irrev_0.5C__W50__SOC65,0.008902028650750762,-0.008902028650750762,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,7,
fai_irrev_0.5C__W50__SOC70,0.0013315490704392998,-0.0013315490704392998,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,7,
fai_irrev_0.5C__W50__SOC70,0.005663008685137593,-0.005663008685137593,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,8,
fai_irrev_0.5C__W50__SOC65,0.0039050505354297858,-0.0039050505354297858,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,8,
fai_irrev_0.5C__W50__SOC70,0.0067915233548754336,-0.0067915233548754336,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,9,
fai_irrev_0.5C__W50__SOC65,0.002820185728858726,-0.002820185728858726,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,9,
fai_irrev_0.5C__W50__SOC65,0.005281364382439058,-0.005281364382439058,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,10,
fai_irrev_0.5C__W50__SOC70,0.004928275894930651,-0.004928275894930651,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,10,
fai_irrev_0.5C__W50__SOC70,0.00732932862983699,-0.00732932862983699,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,11,
fai_irrev_0.5C__W50__SOC65,0.0012481343993280497,-0.0012481343993280497,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,11,
fai_irrev_0.5C__W50__SOC65,0.0045385525398778355,-0.0045385525398778355,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,12,
fai_irrev_0.5C__W50__SOC70,0.00423793878982488,-0.00423793878982488,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,12,
