case_name,feature_tag,feature_name,model,feature,importance_median,importance_std,importance_mean
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,fai_irrev_0.5C__W50__SOC70,0.00535490467806495,0.0022897573522367696,0.005001272869552384
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,fai_irrev_0.5C__W50__SOC65,0.004311198863748967,0.0024757164331829147,0.004762504303877976
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,ridge,fai_irrev_0.5C__W50__SOC70,0.005247284185177545,0.0019774170048220325,0.004862838757599244
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,ridge,fai_irrev_0.5C__W50__SOC65,0.004282285781814488,0.002082454374369824,0.004693683507492416
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,lasso,fai_irrev_0.5C__W50__SOC70,0.004823184311961003,0.0021795657849850436,0.004425515913620721
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,lasso,fai_irrev_0.5C__W50__SOC65,0.0037806580930554207,0.002364021751451706,0.004148359879153854
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,en,fai_irrev_0.5C__W50__SOC70,0.0050857499432584346,0.0022232401055543817,0.004673520076925151
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,en,fai_irrev_0.5C__W50__SOC65,0.004045485694337315,0.0024019963037303243,0.004422924068057336
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,svm,fai_irrev_0.5C__W50__SOC70,0.007690767976568468,0.0074326595158373115,0.00906111095990404
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,svm,fai_irrev_0.5C__W50__SOC65,0.0071386644819211986,0.005432362133035675,0.007639370590120807
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,rf,fai_irrev_0.5C__W50__SOC70,0.5395472770594991,0.05836870634457176,0.5363099615312819
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,rf,fai_irrev_0.5C__W50__SOC65,0.460452722940501,0.058368706344571746,0.4636900384687182
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,xgb,fai_irrev_0.5C__W50__SOC65,2.3886510462034494e-05,3.941549393855045e-06,2.4747645529714645e-05
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,xgb,fai_irrev_0.5C__W50__SOC70,2.3141824385675136e-05,3.6936118976365867e-06,2.3558465381938732e-05
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,gpr,fai_irrev_0.5C__W50__SOC65,6.73956379903997e-07,0.0005383779171854343,-0.0001787427554481301
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,gpr,fai_irrev_0.5C__W50__SOC70,0.0,0.0005475090572516124,-0.00021635994260363445
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,mlp,fai_irrev_0.5C__W50__SOC65,0.0290092543881817,0.023087247660625764,0.03192898506752956
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,mlp,fai_irrev_0.5C__W50__SOC70,0.028404565033453115,0.023091945380378308,0.03172797022395885
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,transformer,fai_irrev_0.5C__W50__SOC65,0.0009515063967704819,0.0026745937973984063,0.0009599225619268447
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,transformer,fai_irrev_0.5C__W50__SOC70,0.0009276555888652779,0.003124172883319134,0.0009805245000060413
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,informer,fai_irrev_0.5C__W50__SOC65,0.0009661239944298968,0.0013784959917905353,0.0010478588680219668
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,informer,fai_irrev_0.5C__W50__SOC70,0.0008316342236995644,0.0015155923564311182,0.0009988193814738607
