case_name,feature_tag,feature_name,model,seed,n_train,n_test,mae_train,rmse_train,mape_train,mae_test,rmse_test,mape_test,fit_time_s,pred_time_test_s,fit_ms_per_train_sample,pred_us_per_test_sample
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,0,45,12,0.00971763309052834,0.012258414322547647,1.2259998747783531,0.013417258423158107,0.016410297352962372,1.6664994361995102,0.002120722085237503,0.00024135294370353222,0.04712715744972229,20.112745308627684
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,1,45,12,0.008714628361098136,0.010970062383444137,1.09883000045491,0.017961371611033356,0.021730866408378534,2.2276751127360517,0.0011690109968185425,0.0002210510428994894,0.025978022151523165,18.420920241624117
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,2,45,12,0.011282093217402788,0.013431533392255866,1.417062620452867,0.008525279205519237,0.01110666058836458,1.0918195889221134,0.001129776006564498,0.00019619311206042767,0.025106133479211066,16.34942600503564
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,3,45,12,0.010300698539305691,0.01277266619399783,1.2964125570829568,0.01123330264561557,0.013697605940476348,1.4109143783548468,0.0010639571119099855,0.00020109489560127258,0.023643491375777457,16.757907966772716
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,4,45,12,0.010879447896776334,0.013179504301376838,1.3672412976664503,0.010201313145234656,0.012182194731674133,1.2992412513286018,0.0010124738328158855,0.0001928289420902729,0.022499418507019676,16.069078507522743
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,5,45,12,0.009893914333805843,0.012083224715837807,1.2489830436787246,0.013224619735140839,0.01631214695493272,1.629759536567492,0.0009936380665749311,0.00020631705410778522,0.02208084592388736,17.193087842315435
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,6,45,12,0.010376857931885778,0.012659252826836373,1.3057682451822614,0.011355644306802748,0.014584531691571121,1.4349054356574542,0.001019804971292615,0.00018756394274532795,0.022662332695391443,15.630328562110662
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,7,45,12,0.009098638724019283,0.011686639884011757,1.1469585446575743,0.015302333036423199,0.017398224543038666,1.9107716132026917,0.0010635089129209518,0.0001877059694379568,0.023633531398243375,15.642164119829733
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,8,45,12,0.011455194189953367,0.013657858093202357,1.4407435013288343,0.007400198370816818,0.009652000704632046,0.9379675185004204,0.0010399490129202604,0.00018352200277149677,0.023109978064894676,15.293500230958063
exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,exp3__0p5C__W50__high_socs_65_70,linear,9,45,12,0.010375623584685478,0.01296988412934923,1.3044333647114055,0.010812334231446452,0.012938222761657047,1.3548382258065166,0.001033135922625661,0.00018004490993916988,0.02295857605834802,15.003742494930824
