case_name,feature_tag,feature_name,model,feature,importance_median,importance_std,importance_mean
single__fai_irrev_2C,single__fai_irrev_2C__add1,single__fai_irrev_2C,linear,fai_irrev_2C,0.0350338811015449,0.001232617617755,0.0349780797669289
single__fai_irrev_2C,single__fai_irrev_2C__add1,single__fai_irrev_2C,ridge,fai_irrev_2C,0.0346066386490871,0.0012175856955872,0.0345515178185517
single__fai_irrev_2C,single__fai_irrev_2C__add1,single__fai_irrev_2C,lasso,fai_irrev_2C,0.0340338811015449,0.001232617617755,0.0339780797669289
single__fai_irrev_2C,single__fai_irrev_2C__add1,single__fai_irrev_2C,en,fai_irrev_2C,0.0345166227901499,0.0012320016169465,0.0344608493422578
single__fai_irrev_2C,single__fai_irrev_2C__add1,single__fai_irrev_2C,svm,fai_irrev_2C,0.0285465325526863,0.0049507734800648,0.0284000866914069
single__fai_irrev_2C,single__fai_irrev_2C__add1,single__fai_irrev_2C,rf,fai_irrev_2C,1.0,0.0,1.0
single__fai_irrev_2C,single__fai_irrev_2C__add1,single__fai_irrev_2C,xgb,fai_irrev_2C,0.0001242524667759,9.037832120325442e-06,0.0001241326650051
single__fai_irrev_2C,single__fai_irrev_2C__add1,single__fai_irrev_2C,gpr,fai_irrev_2C,0.028858355701968,0.0049110737430606,0.0283357760416644
single__fai_irrev_2C,single__fai_irrev_2C__add1,single__fai_irrev_2C,mlp,fai_irrev_2C,0.0282151327360332,0.0052462552254078,0.0279804514133506
single__fai_irrev_2C,single__fai_irrev_2C__add1,single__fai_irrev_2C,transformer,fai_irrev_2C,0.0268367063276199,0.0058950284482424,0.02670989529357
single__fai_irrev_2C,single__fai_irrev_2C__add1,single__fai_irrev_2C,informer,fai_irrev_2C,0.0274931039595831,0.0059015654779762,0.0272993321802865
