group,label,file_name,file_path,SOC_low,SOC_high,SOC_window,Part,keep_reason,SOH,SOH_percent,Qn_Ah,Q_Ah
20Ah LFP,20 Ah,LFP_C_20_B_100_SOC_5-70_Part_1-1_ID_BEGT214HK65000292.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\20Ah LFP\LFP_C_20_B_100_SOC_5-70_Part_1-1_ID_BEGT214HK65000292.xlsx,5,70,5-70,1-1,keep_SOC_5-70_Part_1-1,0.79658,79.658,20,15.9316
20Ah LFP,20 Ah,LFP_C_20_B_101_SOC_5-60_Part_1-1_ID_BEGT216HK70000405.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\20Ah LFP\LFP_C_20_B_101_SOC_5-60_Part_1-1_ID_BEGT216HK70000405.xlsx,5,60,5-60,1-1,keep_SOC_5-60_Part_1-1,0.6932750000000001,69.32750000000001,20,13.8655
20Ah LFP,20 Ah,LFP_C_20_B_102_SOC_5-70_Part_1-1_ID_BEGQ012CQ01000803.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\20Ah LFP\LFP_C_20_B_102_SOC_5-70_Part_1-1_ID_BEGQ012CQ01000803.xlsx,5,70,5-70,1-1,keep_SOC_5-70_Part_1-1,0.775915,77.5915,20,15.5183
20Ah LFP,20 Ah,LFP_C_20_B_10_SOC_5-65_Part_1-1_ID_BEGT216HK70000403.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\20Ah LFP\LFP_C_20_B_10_SOC_5-65_Part_1-1_ID_BEGT216HK70000403.xlsx,5,65,5-65,1-1,keep_SOC_5-65_Part_1-1,0.7477199999999999,74.77199999999999,20,14.9544
20Ah LFP,20 Ah,LFP_C_20_B_11_SOC_5-65_Part_1-1_ID_BEGT213HKSU400596.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\20Ah LFP\LFP_C_20_B_11_SOC_5-65_Part_1-1_ID_BEGT213HKSU400596.xlsx,5,65,5-65,1-1,keep_SOC_5-65_Part_1-1,0.76036,76.036,20,15.2072
20Ah LFP,20 Ah,LFP_C_20_B_12_SOC_5-75_Part_1-1_ID_BEGT201HKBJ200135.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\20Ah LFP\LFP_C_20_B_12_SOC_5-75_Part_1-1_ID_BEGT201HKBJ200135.xlsx,5,75,5-75,1-1,keep_SOC_5-75_Part_1-1,0.82061,82.06099999999999,20,16.4122
20Ah LFP,20 Ah,LFP_C_20_B_13_SOC_5-65_Part_1-1_ID_BEGT202CQ01000768.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\20Ah LFP\LFP_C_20_B_13_SOC_5-65_Part_1-1_ID_BEGT202CQ01000768.xlsx,5,65,5-65,1-1,keep_SOC_5-65_Part_1-1,0.71258,71.258,20,14.2516
20Ah LFP,20 Ah,LFP_C_20_B_14_SOC_5-60_Part_1-1_ID_BEGT214HK65000449.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\20Ah LFP\LFP_C_20_B_14_SOC_5-60_Part_1-1_ID_BEGT214HK65000449.xlsx,5,60,5-60,1-1,keep_SOC_5-60_Part_1-1,0.705805,70.5805,20,14.1161
20Ah LFP,20 Ah,LFP_C_20_B_15_SOC_5-65_Part_1-1_ID_BEGT202CQ01000403.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\20Ah LFP\LFP_C_20_B_15_SOC_5-65_Part_1-1_ID_BEGT202CQ01000403.xlsx,5,65,5-65,1-1,keep_SOC_5-65_Part_1-1,0.709525,70.9525,20,14.1905
20Ah LFP,20 Ah,LFP_C_20_B_16_SOC_5-70_Part_1-1_ID_BEGQ012CQ01001357.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\20Ah LFP\LFP_C_20_B_16_SOC_5-70_Part_1-1_ID_BEGQ012CQ01001357.xlsx,5,70,5-70,1-1,keep_SOC_5-70_Part_1-1,0.8015800000000001,80.158,20,16.0316
20Ah LFP,20 Ah,LFP_C_20_B_17_SOC_5-70_Part_1-1_ID_BEGT213HKSU200394.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\20Ah LFP\LFP_C_20_B_17_SOC_5-70_Part_1-1_ID_BEGT213HKSU200394.xlsx,5,70,5-70,1-1,keep_SOC_5-70_Part_1-1,0.78525,78.525,20,15.705
20Ah LFP,20 Ah,LFP_C_20_B_18_SOC_5-70_Part_1-1_ID_BEGT204HKBK100535.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\20Ah LFP\LFP_C_20_B_18_SOC_5-70_Part_1-1_ID_BEGT204HKBK100535.xlsx,5,70,5-70,1-1,keep_SOC_5-70_Part_1-1,0.794105,79.4105,20,15.8821
20Ah LFP,20 Ah,LFP_C_20_B_19_SOC_5-65_Part_1-1_ID_BEGQ011CQ03000590.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\20Ah LFP\LFP_C_20_B_19_SOC_5-65_Part_1-1_ID_BEGQ011CQ03000590.xlsx,5,65,5-65,1-1,keep_SOC_5-65_Part_1-1,0.7120949999999999,71.20949999999999,20,14.2419
20Ah LFP,20 Ah,LFP_C_20_B_1_SOC_5-65_Part_1-1_ID_BEGT202CQ01000792.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\20Ah LFP\LFP_C_20_B_1_SOC_5-65_Part_1-1_ID_BEGT202CQ01000792.xlsx,5,65,5-65,1-1,keep_SOC_5-65_Part_1-1,0.7234700000000001,72.34700000000001,20,14.4694
20Ah LFP,20 Ah,LFP_C_20_B_20_SOC_5-70_Part_1-1_ID_BEGT215HKBW200509.xlsx,E:\Datasets\PulseBat\PulseBat-all-raw\ProcessingData All\step_1_extract workstep sheet\20Ah LFP\LFP_C_20_B_20_SOC_5-70_Part_1-1_ID_BEGT215HKBW200509.xlsx,5,70,5-70,1-1,keep_SOC_5-70_Part_1-1,0.781655,78.1655,20,15.6331
