width_ms,soc_%,crate,mae
50,5,0.5C,0.0150918582997651
50,5,1.0C,0.0176961043311908
50,5,1.5C,0.0174735197289641
50,5,2.0C,0.0164990703782845
50,5,2.5C,0.0163911388160239
50,15,0.5C,0.014462415103561
50,15,1.0C,0.0169470969283458
50,15,1.5C,0.015313889461074003
50,15,2.0C,0.0157813887974618
50,15,2.5C,0.0161977485718092
50,25,0.5C,0.0143938237721036
50,25,1.0C,0.0153307892650778
50,25,1.5C,0.0144319464831451
50,25,2.0C,0.015891609822327
50,25,2.5C,0.0149071541441762
50,35,0.5C,0.0140127202171893
50,35,1.0C,0.0145285314876835
50,35,1.5C,0.014339988589275498
50,35,2.0C,0.014744646805072698
50,35,2.5C,0.014579936612327
50,45,0.5C,0.015451126178130598
50,45,1.0C,0.0165125770333392
50,45,1.5C,0.0164210975188977
50,45,2.0C,0.0178062723560564
50,45,2.5C,0.0163155361255508
50,55,0.5C,0.014675605744804598
50,55,1.0C,0.0161490302707199
50,55,1.5C,0.0157987711018459
50,55,2.0C,0.0174919965894342
50,55,2.5C,0.0173776009684097
50,65,0.5C,0.0127123815806015
50,65,1.0C,0.0153896865083532
50,65,1.5C,0.0160143884115735
50,65,2.0C,0.0157155397517105
50,65,2.5C,0.0142789112017691
50,75,0.5C,0.0032290234980266994
50,75,1.0C,0.0028414508928577
50,75,1.5C,0.0031613211171632
50,75,2.0C,0.0036581359951713
50,75,2.5C,0.0033247897079417997
500,5,0.5C,0.023222327187031596
500,5,1.0C,0.0275871121318355
500,5,1.5C,0.026992240124076597
500,5,2.0C,0.0260510953154068
500,5,2.5C,0.0255173106636873
500,15,0.5C,0.0190314437403861
500,15,1.0C,0.0200307685182229
500,15,1.5C,0.020164345140619
500,15,2.0C,0.0196700705025399
500,15,2.5C,0.0198377759134852
500,25,0.5C,0.0165612398457334
500,25,1.0C,0.0188297067255092
500,25,1.5C,0.0191793183872231
500,25,2.0C,0.0189635824892794
500,25,2.5C,0.0182010269265692
500,35,0.5C,0.0156354718366624
500,35,1.0C,0.0165137761815397
500,35,1.5C,0.0160449999869165
500,35,2.0C,0.0162446075051344
500,35,2.5C,0.0157590470035335
500,45,0.5C,0.0142483906123329
500,45,1.0C,0.0153217329187778
500,45,1.5C,0.015403453356955598
500,45,2.0C,0.0151927441891628
500,45,2.5C,0.014932589903477001
500,55,0.5C,0.0157742682983373
500,55,1.0C,0.0162968002220008
500,55,1.5C,0.0168194788952273
500,55,2.0C,0.0167242735846096
500,55,2.5C,0.0167689432333578
500,65,0.5C,0.0141956620430195
500,65,1.0C,0.0140289442301847
500,65,1.5C,0.0138357078230535
500,65,2.0C,0.0137553728137528
500,65,2.5C,0.0131262259597485
500,75,0.5C,0.0033076011029409005
500,75,1.0C,0.0035376324707332
500,75,1.5C,0.0034302420634919
500,75,2.0C,0.0032756830697133
500,75,2.5C,0.0034640166324426
3000,5,0.5C,0.032437730034219
3000,5,1.0C,0.0244881098888861
3000,5,1.5C,0.0286215211304958
3000,5,2.0C,0.0316445254332919
3000,5,2.5C,0.0325277874342884
3000,15,0.5C,0.0199366961044949
3000,15,1.0C,0.020645207841675905
3000,15,1.5C,0.020594572692222
3000,15,2.0C,0.0198735852950974
3000,15,2.5C,0.0168433978206336
3000,25,0.5C,0.0186670356600716
3000,25,1.0C,0.0222362934014005
3000,25,1.5C,0.0222941313699321
3000,25,2.0C,0.020034517201338996
3000,25,2.5C,0.0192763116443258
3000,35,0.5C,0.0164760610793483
3000,35,1.0C,0.0172410020157001
3000,35,1.5C,0.0173866581350852
3000,35,2.0C,0.0153337109004336
3000,35,2.5C,0.020148589491776
3000,45,0.5C,0.0153916789967733
3000,45,1.0C,0.0161724242411859
3000,45,1.5C,0.0159693603249066
3000,45,2.0C,0.0145986469905208
3000,45,2.5C,0.024339639057392903
3000,55,0.5C,0.0166694508591947
3000,55,1.0C,0.020127932699547803
3000,55,1.5C,0.0184954680701749
3000,55,2.0C,0.0193429753531825
3000,55,2.5C,0.030355303359888997
3000,65,0.5C,0.0131434091197297
3000,65,1.0C,0.0114926430148163
3000,65,1.5C,0.011713739996934501
3000,65,2.0C,0.0106622624564147
3000,65,2.5C,0.0296654251826086
3000,75,0.5C,0.0033111914039525
3000,75,1.0C,0.0032333557663716
3000,75,1.5C,0.0033050306030603
3000,75,2.0C,0.0033279209838288
3000,75,2.5C,0.0032248158353688997
5000,5,0.5C,0.0344304449813251
5000,5,1.0C,0.0226592635911505
