width_ms,soc_%,crate,mae
50,5,0.5C,0.0548107949224955
50,5,1.0C,0.0534438956129643
50,5,1.5C,0.04963916984281671
50,5,2.0C,0.04882191940815081
50,5,2.5C,0.0509365267956014
50,15,0.5C,0.0543355640817626
50,15,1.0C,0.0537292250044391
50,15,1.5C,0.054160928960399396
50,15,2.0C,0.0550500501270733
50,15,2.5C,0.05513333106855909
50,25,0.5C,0.0543117595219862
50,25,1.0C,0.054442303383841505
50,25,1.5C,0.0554591331617639
50,25,2.0C,0.0552807399011682
50,25,2.5C,0.0546589491752166
50,35,0.5C,0.0549888990073144
50,35,1.0C,0.0549564809085008
50,35,1.5C,0.0537530166197117
50,35,2.0C,0.0547981516487809
50,35,2.5C,0.055468457982008
50,45,0.5C,0.0550291131109835
50,45,1.0C,0.05508556133249629
50,45,1.5C,0.054878616557395
50,45,2.0C,0.0545657101559308
50,45,2.5C,0.05499852610892219
50,55,0.5C,0.0552154467183166
50,55,1.0C,0.0546338991135152
50,55,1.5C,0.0550085106393387
50,55,2.0C,0.05430211969841469
50,55,2.5C,0.0537480901411772
50,65,0.5C,0.0454543845941948
50,65,1.0C,0.0456226840458486
50,65,1.5C,0.0454669530732124
50,65,2.0C,0.0437151440917008
50,65,2.5C,0.045666542331994894
50,75,0.5C,0.0118016789217285
50,75,1.0C,0.0116441891616391
50,75,1.5C,0.0120796522800507
50,75,2.0C,0.0119321260889959
50,75,2.5C,0.0116551018712192
500,5,0.5C,0.054769813780733895
500,5,1.0C,0.05456191981887129
500,5,1.5C,0.0554384239744874
500,5,2.0C,0.0552626294176729
500,5,2.5C,0.055481933630075
500,15,0.5C,0.0526178191953364
500,15,1.0C,0.0475938939239472
500,15,1.5C,0.0450303372617597
500,15,2.0C,0.0419815591736318
500,15,2.5C,0.0420310807077563
500,25,0.5C,0.0512958470569861
500,25,1.0C,0.0442660291290806
500,25,1.5C,0.0406670702073455
500,25,2.0C,0.0377068993036313
500,25,2.5C,0.0376837540900748
500,35,0.5C,0.04535786226698231
500,35,1.0C,0.0370814295481491
500,35,1.5C,0.0333936277470957
500,35,2.0C,0.0346334406278611
500,35,2.5C,0.0366989673850571
500,45,0.5C,0.0449696565840185
500,45,1.0C,0.0391036826802385
500,45,1.5C,0.0390384812513311
500,45,2.0C,0.0372072748976109
500,45,2.5C,0.037015488350249
500,55,0.5C,0.0426602243162893
500,55,1.0C,0.0341145311272105
500,55,1.5C,0.0342823472065151
500,55,2.0C,0.033548202015661
500,55,2.5C,0.0330311690364842
500,65,0.5C,0.0293812534355454
500,65,1.0C,0.0180870461282394
500,65,1.5C,0.017191421083046
500,65,2.0C,0.0180237047442748
500,65,2.5C,0.01627576903621
500,75,0.5C,0.011758501965347
500,75,1.0C,0.009919164831727
500,75,1.5C,0.0097175933814137
500,75,2.0C,0.009932827075113
500,75,2.5C,0.0103799162154717
3000,5,0.5C,0.055001758488378
3000,5,1.0C,0.0529796510908457
3000,5,1.5C,0.05275351075428
3000,5,2.0C,0.0553249876355312
3000,5,2.5C,0.053694159239702305
3000,15,0.5C,0.0372924921846687
3000,15,1.0C,0.033538717025889
3000,15,1.5C,0.0328886403293239
3000,15,2.0C,0.0335316662157667
3000,15,2.5C,0.0352803965696013
3000,25,0.5C,0.0327908124457765
3000,25,1.0C,0.021853767290594305
3000,25,1.5C,0.0269670633889044
3000,25,2.0C,0.026228268993496798
3000,25,2.5C,0.0253857739691094
3000,35,0.5C,0.0287174708537664
3000,35,1.0C,0.0190626870076092
3000,35,1.5C,0.0191703421895564
3000,35,2.0C,0.0194702051730272
3000,35,2.5C,0.0179568719513212
3000,45,0.5C,0.0327542500821565
3000,45,1.0C,0.026956436050352098
3000,45,1.5C,0.024462888168736197
3000,45,2.0C,0.0242800313262653
3000,45,2.5C,0.0235811203700899
3000,55,0.5C,0.026838857605902898
3000,55,1.0C,0.0218511216398009
3000,55,1.5C,0.0224978814610844
3000,55,2.0C,0.0211431351048721
3000,55,2.5C,0.0214341458537284
3000,65,0.5C,0.0129287965798677
3000,65,1.0C,0.0115329707345583
3000,65,1.5C,0.0109778845758691
3000,65,2.0C,0.011250986029410402
3000,65,2.5C,0.0115849433866295
3000,75,0.5C,0.0080899600458888
3000,75,1.0C,0.006015340090534
3000,75,1.5C,0.0061247780984432
3000,75,2.0C,0.0065477495047004
3000,75,2.5C,0.0066222110572754
5000,5,0.5C,0.055030153134307105
5000,5,1.0C,0.0523167249100203
5000,5,1.5C,0.0523046318666559
5000,5,2.0C,0.053281794800140905
5000,5,2.5C,0.0535098822084459
5000,15,0.5C,0.0356950894211808
5000,15,1.0C,0.0427275728144851
5000,15,1.5C,0.0370526296587549
5000,15,2.0C,0.0357204005290257
5000,15,2.5C,0.0361129361412228
5000,25,0.5C,0.0295723957347335
5000,25,1.0C,0.0337909468425548
5000,25,1.5C,0.029656701721688397
5000,25,2.0C,0.030986655490312896
5000,25,2.5C,0.0287264574544737
5000,35,0.5C,0.0204578426305949
5000,35,1.0C,0.0234548360456555
5000,35,1.5C,0.0233657621648791
5000,35,2.0C,0.024970893647834
5000,35,2.5C,0.0274510033977684
5000,45,0.5C,0.022808598229700897
5000,45,1.0C,0.0265686750281572
5000,45,1.5C,0.024879737420402403
5000,45,2.0C,0.025071954020505004
5000,45,2.5C,0.023615629280651296
5000,55,0.5C,0.0204137964232985
5000,55,1.0C,0.0221120789425404
5000,55,1.5C,0.0217643014729786
5000,55,2.0C,0.0205042146888885
5000,55,2.5C,0.0203380763988016
5000,65,0.5C,0.0107885887078748
5000,65,1.0C,0.0121652005978432
5000,65,1.5C,0.0128840377192985
5000,65,2.0C,0.0138668740001516
5000,65,2.5C,0.0142657164568212
5000,75,0.5C,0.007095443504220001
5000,75,1.0C,0.006154724746575299
5000,75,1.5C,0.0059586839173206
5000,75,2.0C,0.0062695113427315
5000,75,2.5C,0.0068002486211433
