width_ms,soc_%,group,mae
50,5,0.5C|1.0C,0.053880187070104876
50,5,1.0C|1.5C,0.050328535934543325
50,5,1.5C|2.0C,0.04866527003639151
50,5,2.0C|2.5C,0.04902138468708588
50,5,0.5C|1.0C|1.5C|2.0C|2.5C,0.04968323824392565
50,15,0.5C|1.0C,0.05236252558712379
50,15,1.0C|1.5C,0.05461807559292018
50,15,1.5C|2.0C,0.0546076996572988
50,15,2.0C|2.5C,0.05521228664091486
50,15,0.5C|1.0C|1.5C|2.0C|2.5C,0.05272254106709283
50,25,0.5C|1.0C,0.052730746790412286
50,25,1.0C|1.5C,0.055051087607019995
50,25,1.5C|2.0C,0.05642697747744799
50,25,2.0C|2.5C,0.05605490527315895
50,25,0.5C|1.0C|1.5C|2.0C|2.5C,0.05535419127110727
50,35,0.5C|1.0C,0.05494928352461935
50,35,1.0C|1.5C,0.054639551622784
50,35,1.5C|2.0C,0.053293984492431626
50,35,2.0C|2.5C,0.055922076037312016
50,35,0.5C|1.0C|1.5C|2.0C|2.5C,0.05612307974099126
50,45,0.5C|1.0C,0.05536022492192924
50,45,1.0C|1.5C,0.055814877370269744
50,45,1.5C|2.0C,0.055371116378893484
50,45,2.0C|2.5C,0.05500043155611209
50,45,0.5C|1.0C|1.5C|2.0C|2.5C,0.05694365912435505
50,55,0.5C|1.0C,0.055552348988654854
50,55,1.0C|1.5C,0.055632286573290765
50,55,1.5C|2.0C,0.05506856432100893
50,55,2.0C|2.5C,0.05389260158734467
50,55,0.5C|1.0C|1.5C|2.0C|2.5C,0.05621744787609716
50,65,0.5C|1.0C,0.04608422083071861
50,65,1.0C|1.5C,0.04610180657845344
50,65,1.5C|2.0C,0.04447059744464713
50,65,2.0C|2.5C,0.04445571092594451
50,65,0.5C|1.0C|1.5C|2.0C|2.5C,0.04591985047440983
50,75,0.5C|1.0C,0.011925928972783842
50,75,1.0C|1.5C,0.012000864475695473
50,75,1.5C|2.0C,0.01239133490240672
50,75,2.0C|2.5C,0.011979697014847288
50,75,0.5C|1.0C|1.5C|2.0C|2.5C,0.012817153815504242
500,5,0.5C|1.0C,0.05507194283345522
500,5,1.0C|1.5C,0.05520283568260169
500,5,1.5C|2.0C,0.0556920813735811
500,5,2.0C|2.5C,0.055759711285555597
500,5,0.5C|1.0C|1.5C|2.0C|2.5C,0.05738395668285025
500,15,0.5C|1.0C,0.04731623691692331
500,15,1.0C|1.5C,0.04409361013076419
500,15,1.5C|2.0C,0.041202963305388696
500,15,2.0C|2.5C,0.04061836754735789
500,15,0.5C|1.0C|1.5C|2.0C|2.5C,0.03968441016572126
500,25,0.5C|1.0C,0.04404003232633298
500,25,1.0C|1.5C,0.040663776215572184
500,25,1.5C|2.0C,0.03762628847327569
500,25,2.0C|2.5C,0.03696212782999099
500,25,0.5C|1.0C|1.5C|2.0C|2.5C,0.03712586910188302
500,35,0.5C|1.0C,0.037288347181617214
500,35,1.0C|1.5C,0.033762095240748934
500,35,1.5C|2.0C,0.033429251424985575
500,35,2.0C|2.5C,0.0350910114224549
500,35,0.5C|1.0C|1.5C|2.0C|2.5C,0.0347201697435445
500,45,0.5C|1.0C,0.03931022811689838
500,45,1.0C|1.5C,0.038911554315444824
500,45,1.5C|2.0C,0.03775590776458439
500,45,2.0C|2.5C,0.0371680896202577
500,45,0.5C|1.0C|1.5C|2.0C|2.5C,0.03657366718981195
500,55,0.5C|1.0C,0.0349123477719397
500,55,1.0C|1.5C,0.03381600313625546
500,55,1.5C|2.0C,0.033317370043501306
500,55,2.0C|2.5C,0.03290876517770138
500,55,0.5C|1.0C|1.5C|2.0C|2.5C,0.0338884305794173
500,65,0.5C|1.0C,0.018235022204951476
500,65,1.0C|1.5C,0.016415438242741588
500,65,1.5C|2.0C,0.017645665644536353
500,65,2.0C|2.5C,0.016381325010559146
500,65,0.5C|1.0C|1.5C|2.0C|2.5C,0.015922279177959457
500,75,0.5C|1.0C,0.009311989864463164
500,75,1.0C|1.5C,0.009827486577966638
500,75,1.5C|2.0C,0.009708830768593312
500,75,2.0C|2.5C,0.009936674980465316
500,75,0.5C|1.0C|1.5C|2.0C|2.5C,0.00907783308042925
3000,5,0.5C|1.0C,0.053360910296456676
3000,5,1.0C|1.5C,0.053491817100594925
