capacity,width_ms,soc_%,group,combo_mae,single_mean_mae,delta_mae
20Ah,50,5,0.5C|1.0C,0.015024340077153073,0.01639398131547795,-0.0013696412383248768
20Ah,50,5,1.0C|1.5C,0.017564343089613868,0.01758481203007745,-2.046894046358272e-05
20Ah,50,5,1.5C|2.0C,0.016756856802490498,0.0169862950536243,-0.00022943825113380222
20Ah,50,5,2.0C|2.5C,0.01660653160233827,0.0164451045971542,0.0001614270051840716
20Ah,50,5,0.5C|1.0C|1.5C|2.0C|2.5C,0.015439201302242734,0.01663033831084568,-0.0011911370086029472
20Ah,50,15,0.5C|1.0C,0.01469804230013352,0.015704756015953402,-0.0010067137158198802
20Ah,50,15,1.0C|1.5C,0.015634346437676746,0.016130493194709904,-0.0004961467570331579
20Ah,50,15,1.5C|2.0C,0.015446662118102543,0.0155476391292679,-0.0001009770111653574
20Ah,50,15,2.0C|2.5C,0.015888871684848135,0.015989568684635497,-0.00010069699978736191
20Ah,50,15,0.5C|1.0C|1.5C|2.0C|2.5C,0.015179942828962647,0.015740507772450358,-0.0005605649434877114
20Ah,50,25,0.5C|1.0C,0.014591512224500341,0.0148623065185907,-0.0002707942940903596
20Ah,50,25,1.0C|1.5C,0.01470016089695058,0.014881367874111451,-0.00018120697716087042
20Ah,50,25,1.5C|2.0C,0.015037825813202631,0.01516177815273605,-0.00012395233953341745
20Ah,50,25,2.0C|2.5C,0.01478224122383729,0.015399381983251602,-0.0006171407594143097
20Ah,50,25,0.5C|1.0C|1.5C|2.0C|2.5C,0.014634611161454907,0.014991064697365941,-0.00035645353591103436
20Ah,50,35,0.5C|1.0C,0.014231634431290503,0.014270625852436401,-3.8991421145897486e-05
20Ah,50,35,1.0C|1.5C,0.014456348835831544,0.0144342600384795,2.2088797352042278e-05
20Ah,50,35,1.5C|2.0C,0.014239758377576225,0.014542317697174099,-0.0003025593195978726
20Ah,50,35,2.0C|2.5C,0.014667447743098224,0.01466229170869985,5.1560343983725335e-06
20Ah,50,35,0.5C|1.0C|1.5C|2.0C|2.5C,0.0146247510874359,0.014441164742309599,0.00018358634512630312
20Ah,50,45,0.5C|1.0C,0.015502982773287544,0.0159818516057349,-0.0004788688324473567
20Ah,50,45,1.0C|1.5C,0.016182069913343304,0.016466837276118453,-0.0002847673627751468
20Ah,50,45,1.5C|2.0C,0.016270880924407427,0.01711368493747705,-0.0008428040130696247
20Ah,50,45,2.0C|2.5C,0.016721216761488536,0.0170609042408036,-0.00033968747931506504
20Ah,50,45,0.5C|1.0C|1.5C|2.0C|2.5C,0.01623825124245703,0.01650132184239494,-0.00026307059993791127
20Ah,50,55,0.5C|1.0C,0.014580479929863246,0.015412318007762249,-0.0008318380778990031
20Ah,50,55,1.0C|1.5C,0.01515059232328252,0.0159739006862829,-0.0008233083630003812
