capacity,width_ms,soc_%,group,combo_mae,single_mean_mae,delta_mae
68Ah,50,5,0.5C|1.0C,0.05388018707010487,0.0541273452677299,-0.0002471581976250281
68Ah,50,5,1.0C|1.5C,0.05032853593454332,0.051541532727890506,-0.0012129967933471875
68Ah,50,5,1.5C|2.0C,0.04866527003639151,0.04923054462548375,-0.0005652745890922439
68Ah,50,5,2.0C|2.5C,0.04902138468708588,0.0498792231018761,-0.0008578384147902173
68Ah,50,5,0.5C|1.0C|1.5C|2.0C|2.5C,0.04968323824392565,0.051530461316405735,-0.0018472230724800908
68Ah,50,15,0.5C|1.0C,0.05236252558712379,0.05403239454310085,-0.0016698689559770674
68Ah,50,15,1.0C|1.5C,0.05461807559292018,0.05394507698241926,0.0006729986105009278
68Ah,50,15,1.5C|2.0C,0.0546076996572988,0.054605489543736355,2.210113562446381e-06
68Ah,50,15,2.0C|2.5C,0.05521228664091486,0.0550916905978162,0.00012059604309866856
68Ah,50,15,0.5C|1.0C|1.5C|2.0C|2.5C,0.05272254106709282,0.05448181984844671,-0.0017592787813538813
68Ah,50,25,0.5C|1.0C,0.052730746790412286,0.05437703145291385,-0.0016462846625015625
68Ah,50,25,1.0C|1.5C,0.05505108760702,0.05495071827280271,0.00010036933421729621
68Ah,50,25,1.5C|2.0C,0.05642697747744799,0.05536993653146605,0.0010570409459819351
68Ah,50,25,2.0C|2.5C,0.05605490527315895,0.0549698445381924,0.001085060734966552
68Ah,50,25,0.5C|1.0C|1.5C|2.0C|2.5C,0.05535419127110727,0.054830577028795284,0.0005236142423119894
68Ah,50,35,0.5C|1.0C,0.05494928352461935,0.0549726899579076,-2.3406433288251092e-05
68Ah,50,35,1.0C|1.5C,0.054639551622784,0.05435474876410625,0.00028480285867774844
68Ah,50,35,1.5C|2.0C,0.05329398449243163,0.054275584134246296,-0.0009815996418146699
68Ah,50,35,2.0C|2.5C,0.05592207603731201,0.05513330481539445,0.0007887712219175658
68Ah,50,35,0.5C|1.0C|1.5C|2.0C|2.5C,0.05612307974099126,0.05479300123326316,0.0013300785077281052
68Ah,50,45,0.5C|1.0C,0.05536022492192924,0.055057337221739895,0.0003028877001893449
68Ah,50,45,1.0C|1.5C,0.055814877370269744,0.054982088944945655,0.0008327884253240914
68Ah,50,45,1.5C|2.0C,0.05537111637889349,0.054722163356662905,0.0006489530222305806
68Ah,50,45,2.0C|2.5C,0.05500043155611209,0.0547821181324265,0.00021831342368558993
68Ah,50,45,0.5C|1.0C|1.5C|2.0C|2.5C,0.05694365912435504,0.054911505453145555,0.002032153671209489
68Ah,50,55,0.5C|1.0C,0.055552348988654854,0.05492467291591589,0.0006276760727389608
68Ah,50,55,1.0C|1.5C,0.05563228657329076,0.05482120487642694,0.0008110816968638179
68Ah,50,55,1.5C|2.0C,0.05506856432100893,0.05465531516887669,0.0004132491521322379
68Ah,50,55,2.0C|2.5C,0.05389260158734468,0.054025104919795945,-0.0001325033324512681
68Ah,50,55,0.5C|1.0C|1.5C|2.0C|2.5C,0.05621744787609716,0.054581613262152474,0.0016358346139446844
68Ah,50,65,0.5C|1.0C,0.04608422083071861,0.0455385343200217,0.0005456865106969034
68Ah,50,65,1.0C|1.5C,0.04610180657845344,0.0455448185595305,0.0005569880189229437
68Ah,50,65,1.5C|2.0C,0.04447059744464713,0.04459104858245659,-0.00012045113780946081
68Ah,50,65,2.0C|2.5C,0.04445571092594451,0.04469084321184784,-0.0002351322859033278
68Ah,50,65,0.5C|1.0C|1.5C|2.0C|2.5C,0.04591985047440983,0.0451851416273903,0.0007347088470195295
68Ah,50,75,0.5C|1.0C,0.011925928972783842,0.0117229340416838,0.0002029949311000423
68Ah,50,75,1.0C|1.5C,0.012000864475695473,0.011861920720844901,0.0001389437548505712
68Ah,50,75,1.5C|2.0C,0.01239133490240672,0.0120058891845233,0.0003854457178834192
68Ah,50,75,2.0C|2.5C,0.011979697014847288,0.011793613980107552,0.00018608303473973686
68Ah,50,75,0.5C|1.0C|1.5C|2.0C|2.5C,0.01281715381550424,0.01182254966472668,0.0009946041507775604
68Ah,500,5,0.5C|1.0C,0.05507194283345522,0.0546658667998026,0.0004060760336526226
68Ah,500,5,1.0C|1.5C,0.05520283568260169,0.05500017189667934,0.00020266378592234346
68Ah,500,5,1.5C|2.0C,0.0556920813735811,0.055350526696080156,0.00034155467750094813
68Ah,500,5,2.0C|2.5C,0.055759711285555597,0.05537228152387395,0.0003874297616816502
