capacity,soc_%,crate,seed,importance,signed_importance
20Ah,25,0.5,0,0.05766865629934653,-0.05766865629934653
20Ah,25,1.0,0,0.015716307061720995,0.015716307061720995
20Ah,25,1.5,0,0.00815034765364954,0.00815034765364954
20Ah,25,2.5,0,0.00501858270362249,0.00501858270362249
20Ah,25,2.0,0,0.002598040858825419,0.002598040858825419
20Ah,25,0.5,1,0.06003814482190819,-0.06003814482190819
20Ah,25,1.0,1,0.013017103607920284,0.013017103607920284
20Ah,25,1.5,1,0.008642366585189912,0.008642366585189912
20Ah,25,2.5,1,0.005059292454773434,0.005059292454773434
20Ah,25,2.0,1,0.004397848967221853,0.004397848967221853
20Ah,25,0.5,2,0.06139582734450127,-0.06139582734450127
20Ah,25,1.0,2,0.019050234272283823,0.019050234272283823
20Ah,25,1.5,2,0.007854303860148083,0.007854303860148083
20Ah,25,2.5,2,0.007501266622826659,0.007501266622826659
20Ah,25,2.0,2,0.0012378708681779773,0.0012378708681779773
20Ah,25,0.5,3,0.047004942221361465,-0.047004942221361465
20Ah,25,1.0,3,0.019458516155618426,0.019458516155618426
20Ah,25,2.0,3,0.007888069374582212,-0.007888069374582212
20Ah,25,2.5,3,0.005713713119487431,0.005713713119487431
20Ah,25,1.5,3,0.0011438266039962713,0.0011438266039962713
20Ah,25,0.5,4,0.059737900124668786,-0.059737900124668786
20Ah,25,1.0,4,0.021357423597520367,0.021357423597520367
20Ah,25,2.5,4,0.005742457216499516,0.005742457216499516
20Ah,25,1.5,4,0.0037169667715719985,0.0037169667715719985
20Ah,25,2.0,4,0.0021638956183134017,0.0021638956183134017
20Ah,25,0.5,5,0.05643120086938888,-0.05643120086938888
20Ah,25,1.0,5,0.015776322711328707,0.015776322711328707
20Ah,25,2.0,5,0.005344645274557432,0.005344645274557432
20Ah,25,1.5,5,0.0038677662434636927,0.0038677662434636927
20Ah,25,2.5,5,0.0037882998098457926,0.0037882998098457926
20Ah,25,0.5,6,0.060015605745911645,-0.060015605745911645
20Ah,25,1.0,6,0.01707891022388284,0.01707891022388284
20Ah,25,1.5,6,0.008824844924141581,0.008824844924141581
20Ah,25,2.5,6,0.005477644617973064,0.005477644617973064
20Ah,25,2.0,6,0.0007271707329075777,0.0007271707329075777
20Ah,25,0.5,7,0.053389093921041304,-0.053389093921041304
20Ah,25,1.0,7,0.017921810460409512,0.017921810460409512
20Ah,25,2.5,7,0.006873473473959704,0.006873473473959704
20Ah,25,1.5,7,0.0037001861177139513,0.0037001861177139513
20Ah,25,2.0,7,0.0018539040749216906,-0.0018539040749216906
20Ah,25,0.5,8,0.05750158073701373,-0.05750158073701373
20Ah,25,1.5,8,0.011952238681309757,0.011952238681309757
20Ah,25,1.0,8,0.011897802086033547,0.011897802086033547
20Ah,25,2.5,8,0.006486180417128221,0.006486180417128221
20Ah,25,2.0,8,0.0011099808416251337,0.0011099808416251337
20Ah,25,0.5,9,0.05686742111383964,-0.05686742111383964
20Ah,25,1.0,9,0.015338486466323336,0.015338486466323336
20Ah,25,1.5,9,0.008407153075378017,0.008407153075378017
20Ah,25,2.5,9,0.005988984132383634,0.005988984132383634
20Ah,25,2.0,9,0.0005127646234378051,-0.0005127646234378051
20Ah,25,0.5,10,0.0639185927266369,-0.0639185927266369
20Ah,25,1.0,10,0.012681655402632355,0.012681655402632355
20Ah,25,1.5,10,0.012601791569605426,0.012601791569605426
20Ah,25,2.5,10,0.007354163016033078,0.007354163016033078
20Ah,25,2.0,10,0.006246119842087978,0.006246119842087978
20Ah,25,0.5,11,0.0557184601562451,-0.0557184601562451
20Ah,25,1.5,11,0.025569084996930336,0.025569084996930336
20Ah,25,2.5,11,0.006280077258197973,0.006280077258197973
20Ah,25,2.0,11,0.0031376134528148174,-0.0031376134528148174
20Ah,25,1.0,11,0.0004392146657061797,-0.0004392146657061797
20Ah,25,0.5,12,0.058016600872848226,-0.058016600872848226
20Ah,25,1.5,12,0.019738169429363097,0.019738169429363097
20Ah,25,2.5,12,0.006109080860161408,0.006109080860161408
20Ah,25,1.0,12,0.00408455196850495,0.00408455196850495
20Ah,25,2.0,12,0.0006038685430925642,0.0006038685430925642
20Ah,25,0.5,13,0.05652399558648225,-0.05652399558648225
20Ah,25,1.5,13,0.012715056539309788,0.012715056539309788
20Ah,25,1.0,13,0.011991282866400211,0.011991282866400211
20Ah,25,2.5,13,0.005572391174538451,0.005572391174538451
20Ah,25,2.0,13,0.0013518521716604653,-0.0013518521716604653
20Ah,25,0.5,14,0.053488735980732185,-0.053488735980732185
20Ah,25,1.0,14,0.014160270595594404,0.014160270595594404
20Ah,25,1.5,14,0.006960158834869153,0.006960158834869153
20Ah,25,2.5,14,0.004941178798264728,0.004941178798264728
20Ah,25,2.0,14,0.001439391310414779,-0.001439391310414779
20Ah,25,0.5,15,0.060697378734294295,-0.060697378734294295
20Ah,25,1.5,15,0.019513036122429456,0.019513036122429456
20Ah,25,1.0,15,0.007980086530302136,0.007980086530302136
20Ah,25,2.5,15,0.005850902494838777,0.005850902494838777
20Ah,25,2.0,15,0.00018660559495238885,-0.00018660559495238885
20Ah,25,0.5,16,0.057804778817895155,-0.057804778817895155
20Ah,25,1.0,16,0.01867793184221668,0.01867793184221668
20Ah,25,2.5,16,0.004457537523321178,0.004457537523321178
20Ah,25,1.5,16,0.00395547954518901,0.00395547954518901
20Ah,25,2.0,16,0.003099386825387556,0.003099386825387556
20Ah,25,0.5,17,0.061254301463829125,-0.061254301463829125
20Ah,25,1.5,17,0.01300430959821274,0.01300430959821274
20Ah,25,1.0,17,0.01040385700970163,0.01040385700970163
20Ah,25,2.0,17,0.00582218671587614,0.00582218671587614
20Ah,25,2.5,17,0.0034775666533116223,0.0034775666533116223
20Ah,25,0.5,18,0.059527000544543414,-0.059527000544543414
20Ah,25,1.5,18,0.014115903382325464,0.014115903382325464
20Ah,25,1.0,18,0.011049882221859162,0.011049882221859162
20Ah,25,2.5,18,0.006640122000118416,0.006640122000118416
20Ah,25,2.0,18,0.000720653600715461,0.000720653600715461
20Ah,25,0.5,19,0.060363891368194963,-0.060363891368194963
20Ah,25,1.0,19,0.014978095650434047,0.014978095650434047
20Ah,25,1.5,19,0.012444959264000306,0.012444959264000306
20Ah,25,2.5,19,0.0059780791551899415,0.0059780791551899415
20Ah,25,2.0,19,0.0003128184752742715,-0.0003128184752742715
20Ah,25,0.5,20,0.05954452615106962,-0.05954452615106962
20Ah,25,1.0,20,0.017208451931398663,0.017208451931398663
20Ah,25,1.5,20,0.006870541821018215,0.006870541821018215
20Ah,25,2.5,20,0.006642347190366641,0.006642347190366641
20Ah,25,2.0,20,0.0026862423709775557,0.0026862423709775557
20Ah,25,0.5,21,0.058583761271199276,-0.058583761271199276
20Ah,25,1.0,21,0.018003306199335656,0.018003306199335656
20Ah,25,1.5,21,0.008510093412971093,0.008510093412971093
20Ah,25,2.5,21,0.006358356936323048,0.006358356936323048
20Ah,25,2.0,21,0.002368950809177303,-0.002368950809177303
20Ah,25,0.5,22,0.057231498973277166,-0.057231498973277166
20Ah,25,1.5,22,0.01434267555922225,0.01434267555922225
20Ah,25,1.0,22,0.01257380957381103,0.01257380957381103
20Ah,25,2.5,22,0.0062338393918326416,0.0062338393918326416
