capacity,soc_%,crate,seed,importance
20Ah,25,0.5,0,0.05766865629934653
20Ah,25,0.5,1,0.06003814482190819
20Ah,25,0.5,2,0.06139582734450127
20Ah,25,0.5,3,0.047004942221361465
20Ah,25,0.5,4,0.059737900124668786
20Ah,25,0.5,5,0.05643120086938888
20Ah,25,0.5,6,0.060015605745911645
20Ah,25,0.5,7,0.053389093921041304
20Ah,25,0.5,8,0.05750158073701373
20Ah,25,0.5,9,0.05686742111383964
20Ah,25,0.5,10,0.0639185927266369
20Ah,25,0.5,11,0.0557184601562451
20Ah,25,0.5,12,0.058016600872848226
20Ah,25,0.5,13,0.05652399558648225
20Ah,25,0.5,14,0.053488735980732185
20Ah,25,0.5,15,0.060697378734294295
20Ah,25,0.5,16,0.057804778817895155
20Ah,25,0.5,17,0.061254301463829125
20Ah,25,0.5,18,0.059527000544543414
20Ah,25,0.5,19,0.060363891368194963
20Ah,25,0.5,20,0.05954452615106962
20Ah,25,0.5,21,0.058583761271199276
20Ah,25,0.5,22,0.057231498973277166
20Ah,25,0.5,23,0.06094561586482522
20Ah,25,0.5,24,0.05441491044698441
20Ah,25,0.5,25,0.049463570369603804
20Ah,25,0.5,26,0.050840217616930805
20Ah,25,0.5,27,0.05119289149559941
20Ah,25,0.5,28,0.04950378914275079
20Ah,25,0.5,29,0.04687587113676214
20Ah,25,0.5,30,0.05844565742504156
20Ah,25,0.5,31,0.05666630808300942
20Ah,25,0.5,32,0.05705949991384857
20Ah,25,0.5,33,0.05665548418622058
20Ah,25,0.5,34,0.05770910019896404
20Ah,25,0.5,35,0.058643405912200616
20Ah,25,0.5,36,0.048177040746312065
20Ah,25,0.5,37,0.05528029685253201
20Ah,25,0.5,38,0.05496412962002167
20Ah,25,0.5,39,0.05683605434628567
20Ah,25,0.5,40,0.059507660956685644
20Ah,25,0.5,41,0.05655529402290903
20Ah,25,0.5,42,0.05932311355282329
20Ah,25,0.5,43,0.058728982003109775
20Ah,25,0.5,44,0.05776361895644952
20Ah,25,0.5,45,0.055221186335114435
20Ah,25,0.5,46,0.04933435082636673
20Ah,25,0.5,47,0.05854108603381743
20Ah,25,0.5,48,0.05432645959003456
20Ah,25,0.5,49,0.05997998702158197
20Ah,25,0.5,50,0.05756334156000416
20Ah,25,0.5,51,0.06192595825313788
20Ah,25,0.5,52,0.058054462465363846
20Ah,25,0.5,53,0.06133589286766458
20Ah,25,0.5,54,0.06190576872126458
20Ah,25,0.5,55,0.05604796776612706
20Ah,25,0.5,56,0.05366341423860791
20Ah,25,0.5,57,0.06039978319284654
20Ah,25,0.5,58,0.04697695200903769
20Ah,25,0.5,59,0.0612429237236737
20Ah,25,0.5,60,0.060402959162066026
20Ah,25,0.5,61,0.05461988884190946
20Ah,25,0.5,62,0.05916437232297613
20Ah,25,0.5,63,0.05895986323670743
20Ah,25,0.5,64,0.05198413563888709
20Ah,25,0.5,65,0.050519152587242565
20Ah,25,0.5,66,0.05688803182946833
20Ah,25,0.5,67,0.060424329232649336
20Ah,25,0.5,68,0.06332881264165656
20Ah,25,0.5,69,0.050855036835035825
20Ah,25,0.5,70,0.0616065992873955
20Ah,25,0.5,71,0.0625789510518423
20Ah,25,0.5,72,0.05901539877668599
20Ah,25,0.5,73,0.06707498038620313
20Ah,25,0.5,74,0.05351757388319205
20Ah,25,0.5,75,0.04800342777050242
20Ah,25,0.5,76,0.055483044486913026
20Ah,25,0.5,77,0.05557107015724366
