capacity,soc_%,crate,seed,importance
20Ah,25,2.5,0,0.00501858270362249
20Ah,25,2.5,1,0.005059292454773434
20Ah,25,2.5,2,0.007501266622826659
20Ah,25,2.5,3,0.005713713119487431
20Ah,25,2.5,4,0.005742457216499516
20Ah,25,2.5,5,0.0037882998098457926
20Ah,25,2.5,6,0.005477644617973064
20Ah,25,2.5,7,0.006873473473959704
20Ah,25,2.5,8,0.006486180417128221
20Ah,25,2.5,9,0.005988984132383634
20Ah,25,2.5,10,0.007354163016033078
20Ah,25,2.5,11,0.006280077258197973
20Ah,25,2.5,12,0.006109080860161408
20Ah,25,2.5,13,0.005572391174538451
20Ah,25,2.5,14,0.004941178798264728
20Ah,25,2.5,15,0.005850902494838777
20Ah,25,2.5,16,0.004457537523321178
20Ah,25,2.5,17,0.0034775666533116223
20Ah,25,2.5,18,0.006640122000118416
20Ah,25,2.5,19,0.0059780791551899415
20Ah,25,2.5,20,0.006642347190366641
20Ah,25,2.5,21,0.006358356936323048
20Ah,25,2.5,22,0.0062338393918326416
20Ah,25,2.5,23,0.006768924405204907
20Ah,25,2.5,24,0.004850857452550826
20Ah,25,2.5,25,0.004998799863137008
20Ah,25,2.5,26,0.0070583624020064155
20Ah,25,2.5,27,0.00662064841070001
20Ah,25,2.5,28,0.005355718034076122
20Ah,25,2.5,29,0.006409867009254927
20Ah,25,2.5,30,0.00699745770456959
20Ah,25,2.5,31,0.004950322647503922
20Ah,25,2.5,32,0.004641608678721133
20Ah,25,2.5,33,0.006048497669842388
20Ah,25,2.5,34,0.006090465732304274
20Ah,25,2.5,35,0.005719404706730928
20Ah,25,2.5,36,0.006936257625541496
20Ah,25,2.5,37,0.0043148615302970586
20Ah,25,2.5,38,0.006706919288680254
20Ah,25,2.5,39,0.005944387459440893
20Ah,25,2.5,40,0.005467586557628898
20Ah,25,2.5,41,0.004049386529331807
20Ah,25,2.5,42,0.0051049599010411645
20Ah,25,2.5,43,0.007359246744954804
20Ah,25,2.5,44,0.005094708353731001
20Ah,25,2.5,45,0.004991325803026686
20Ah,25,2.5,46,0.006303277401860827
20Ah,25,2.5,47,0.006819126082471588
20Ah,25,2.5,48,0.006274772728565835
20Ah,25,2.5,49,0.006993213712393591
20Ah,25,2.5,50,0.006147285666193123
20Ah,25,2.5,51,0.006640614049597164
20Ah,25,2.5,52,0.005090836293299876
20Ah,25,2.5,53,0.006285924143256925
20Ah,25,2.5,54,0.0027361602416975054
20Ah,25,2.5,55,0.005656989248370943
20Ah,25,2.5,56,0.004941005776464096
20Ah,25,2.5,57,0.006569077804712591
20Ah,25,2.5,58,0.00510010693198195
20Ah,25,2.5,59,0.006165462824459436
20Ah,25,2.5,60,0.006424930220338178
20Ah,25,2.5,61,0.005146084740916823
20Ah,25,2.5,62,0.002960842234071364
20Ah,25,2.5,63,0.006272127272493055
20Ah,25,2.5,64,0.007362727070388538
20Ah,25,2.5,65,0.005108824833073839
20Ah,25,2.5,66,0.006632100265273948
20Ah,25,2.5,67,0.008597366305235445
20Ah,25,2.5,68,0.006154634022054198
20Ah,25,2.5,69,0.0059326541470725285
20Ah,25,2.5,70,0.005633932866629313
20Ah,25,2.5,71,0.006041708578597627
20Ah,25,2.5,72,0.005960991082122474
20Ah,25,2.5,73,0.005582975318685465
20Ah,25,2.5,74,0.005338162220105359
20Ah,25,2.5,75,0.005996076900648719
20Ah,25,2.5,76,0.007453786329771481
20Ah,25,2.5,77,0.005279383191784945
20Ah,25,2.5,78,0.00487189353356242
20Ah,25,2.5,79,0.006198739399133577
20Ah,25,2.5,80,0.0037441546853729094
20Ah,25,2.5,81,0.006610720819473485
20Ah,25,2.5,82,0.006079349763692197
20Ah,25,2.5,83,0.006327291449258589
20Ah,25,2.5,84,0.005129924229532595
20Ah,25,2.5,85,0.006605942434909634
20Ah,25,2.5,86,0.005413241599727528
20Ah,25,2.5,87,0.004812497669448152
20Ah,25,2.5,88,0.008483863128021744
20Ah,25,2.5,89,0.004771497305326574
20Ah,25,2.5,90,0.006527438455328606
20Ah,25,2.5,91,0.003091356282057904
20Ah,25,2.5,92,0.004756312636566253
20Ah,25,2.5,93,0.006530284579709881
20Ah,25,2.5,94,0.007818881593485346
20Ah,25,2.5,95,0.0064871107131022005
20Ah,25,2.5,96,0.006985226247257234
20Ah,25,2.5,97,0.007045463193661148
20Ah,25,2.5,98,0.006253368037015555
20Ah,25,2.5,99,0.0048513962895652555
68Ah,25,2.5,0,0.04445653034840459
68Ah,25,2.5,1,0.040535057884632644
68Ah,25,2.5,2,0.033672117827702006
68Ah,25,2.5,3,0.01887809220108208
68Ah,25,2.5,4,0.0384909567146618
68Ah,25,2.5,5,0.030463491636484083
68Ah,25,2.5,6,0.033327205423063416
68Ah,25,2.5,7,0.052265026751571464
68Ah,25,2.5,8,0.02940280141525771
68Ah,25,2.5,9,0.03811405771461288
68Ah,25,2.5,10,0.030531226323798313
68Ah,25,2.5,11,0.035577255491610574
68Ah,25,2.5,12,0.027537987960538572
68Ah,25,2.5,13,0.02399333927372156
68Ah,25,2.5,14,0.04462036462677742
68Ah,25,2.5,15,0.022250574632144537
68Ah,25,2.5,16,0.02201977395797125
68Ah,25,2.5,17,0.03340518080159726
68Ah,25,2.5,18,0.041375917534254146
68Ah,25,2.5,19,0.03535712279181623
68Ah,25,2.5,20,0.029329839439337077
68Ah,25,2.5,21,0.03860898560360681
68Ah,25,2.5,22,0.04795397098300304
68Ah,25,2.5,23,0.026123045128396225
68Ah,25,2.5,24,0.0442507077689749
68Ah,25,2.5,25,0.01715261919921037
68Ah,25,2.5,26,0.028386725455155637
68Ah,25,2.5,27,0.03673604220087412
68Ah,25,2.5,28,0.03987144808929876
68Ah,25,2.5,29,0.02826782158102705
68Ah,25,2.5,30,0.039086095400391534
68Ah,25,2.5,31,0.035107994669779694
68Ah,25,2.5,32,0.03418997857587969
68Ah,25,2.5,33,0.043079498073907464
68Ah,25,2.5,34,0.05301449931152057
68Ah,25,2.5,35,0.013073371958777013
68Ah,25,2.5,36,0.043152074001218364
68Ah,25,2.5,37,0.037737770141451084
68Ah,25,2.5,38,0.03816223815449363
68Ah,25,2.5,39,0.04186592425189479
68Ah,25,2.5,40,0.03592917328174152
68Ah,25,2.5,41,0.030271133472400905
68Ah,25,2.5,42,0.0269208923657737
68Ah,25,2.5,43,0.03546508198346677
68Ah,25,2.5,44,0.04941892444167545
68Ah,25,2.5,45,0.03352672815788481
68Ah,25,2.5,46,0.0372273867685378
68Ah,25,2.5,47,0.01855336440506906
68Ah,25,2.5,48,0.030710921933935927
68Ah,25,2.5,49,0.036101911317761484
68Ah,25,2.5,50,0.03055347925853586
68Ah,25,2.5,51,0.011641353383227034
68Ah,25,2.5,52,0.028281402063393937
68Ah,25,2.5,53,0.02298956976882322
68Ah,25,2.5,54,0.037145201074294726
68Ah,25,2.5,55,0.019180627777525057
68Ah,25,2.5,56,0.026796672533372368
68Ah,25,2.5,57,0.02209500170262736
68Ah,25,2.5,58,0.030510040121112195
68Ah,25,2.5,59,0.03617402710004665
68Ah,25,2.5,60,0.031001001824476637
68Ah,25,2.5,61,0.03547844683410954
68Ah,25,2.5,62,0.03962527689744454
68Ah,25,2.5,63,0.03645366616623481
68Ah,25,2.5,64,0.03298255355514864
68Ah,25,2.5,65,0.0302710581604763
68Ah,25,2.5,66,0.03715809487562676
68Ah,25,2.5,67,0.034825174201893065
68Ah,25,2.5,68,0.03165257639546268
68Ah,25,2.5,69,0.044122553279807054
68Ah,25,2.5,70,0.03511050365393864
68Ah,25,2.5,71,0.015182360009409769
68Ah,25,2.5,72,0.03442399193225545
68Ah,25,2.5,73,0.029342201100723966
68Ah,25,2.5,74,0.03457639803499375
68Ah,25,2.5,75,0.04035369217258606
68Ah,25,2.5,76,0.02963656524111838
68Ah,25,2.5,77,0.03829892597891305
68Ah,25,2.5,78,0.046012192072807816
68Ah,25,2.5,79,0.034210817396503744
68Ah,25,2.5,80,0.031210288750864523
68Ah,25,2.5,81,0.042211449165216325
68Ah,25,2.5,82,0.05194342305312436
68Ah,25,2.5,83,0.03421239903979871
68Ah,25,2.5,84,0.044833542701813965
68Ah,25,2.5,85,0.03391664605953339
68Ah,25,2.5,86,0.029176929690415233
68Ah,25,2.5,87,0.03761963113391441
68Ah,25,2.5,88,0.023484746584986997
68Ah,25,2.5,89,0.03766406647704134
68Ah,25,2.5,90,0.023407117426516102
68Ah,25,2.5,91,0.051267712718485736
68Ah,25,2.5,92,0.039118696239118636
68Ah,25,2.5,93,0.0276731579101952
68Ah,25,2.5,94,0.03311945570149936
68Ah,25,2.5,95,0.029592375000972997
68Ah,25,2.5,96,0.03506142757186034
68Ah,25,2.5,97,0.023179864030452534
68Ah,25,2.5,98,0.03563501335165327
68Ah,25,2.5,99,0.02921775295783611
20Ah,50,2.5,0,0.0013918638015716763
20Ah,50,2.5,1,0.0007957857904040115
20Ah,50,2.5,2,0.0020886716911101898
20Ah,50,2.5,3,0.0031646066941353273
20Ah,50,2.5,4,0.00012956795214710582
20Ah,50,2.5,5,0.0008527892802696346
20Ah,50,2.5,6,0.00012882584211509218
20Ah,50,2.5,7,0.0025664179948188368
20Ah,50,2.5,8,0.002113999431353777
20Ah,50,2.5,9,0.0015740581378839663
20Ah,50,2.5,10,0.0027386348911833
20Ah,50,2.5,11,0.0037281288012442713
20Ah,50,2.5,12,0.001883196840623608
20Ah,50,2.5,13,0.0010844105840456069
20Ah,50,2.5,14,0.00020253516376369892
20Ah,50,2.5,15,0.0016647494738366848
20Ah,50,2.5,16,0.0005398080925108951
20Ah,50,2.5,17,0.0030286509000948566
20Ah,50,2.5,18,0.0039762264231344505
20Ah,50,2.5,19,0.003503015385609407
20Ah,50,2.5,20,0.0018728172065409592
20Ah,50,2.5,21,0.0013599708470721941
20Ah,50,2.5,22,0.0013523161795170005
20Ah,50,2.5,23,0.0016094757976787295
20Ah,50,2.5,24,0.0010632461410159597
20Ah,50,2.5,25,0.0021658088139687387
20Ah,50,2.5,26,0.0026529721296384605
20Ah,50,2.5,27,0.002599435682178087
20Ah,50,2.5,28,0.0025806363534686067
20Ah,50,2.5,29,0.0011634018558517028
20Ah,50,2.5,30,0.0024941777418912396
20Ah,50,2.5,31,0.00026195979241719136
20Ah,50,2.5,32,0.002254579259486228
20Ah,50,2.5,33,0.0020292133828783213
20Ah,50,2.5,34,0.002491131125526508
20Ah,50,2.5,35,0.0021274134734262013
20Ah,50,2.5,36,0.002541327278736054
20Ah,50,2.5,37,0.0031209898505982344
20Ah,50,2.5,38,0.0032464496993245807
20Ah,50,2.5,39,0.0019757454548583325
20Ah,50,2.5,40,0.002240010997756584
20Ah,50,2.5,41,0.003784419822017547
20Ah,50,2.5,42,0.003960605402955294
20Ah,50,2.5,43,0.002454072799105732
20Ah,50,2.5,44,0.0027711831852103943
20Ah,50,2.5,45,0.0030197514813985697
20Ah,50,2.5,46,0.001764077274309365
20Ah,50,2.5,47,0.002357555315954146
20Ah,50,2.5,48,0.003928967335621217
20Ah,50,2.5,49,0.0009112385741452009
20Ah,50,2.5,50,0.0012484054473432293
20Ah,50,2.5,51,0.000579847504378912
20Ah,50,2.5,52,0.0017255693151519101
20Ah,50,2.5,53,0.002778297462924797
20Ah,50,2.5,54,0.0017408671601797114
20Ah,50,2.5,55,0.002177644860759022
20Ah,50,2.5,56,0.0018393606114553726
20Ah,50,2.5,57,0.0005860638367819807
20Ah,50,2.5,58,0.001959633418498644
20Ah,50,2.5,59,0.0019503853303530785
20Ah,50,2.5,60,0.0033667699668641043
20Ah,50,2.5,61,0.001953507979280352
20Ah,50,2.5,62,0.001876625554278543
20Ah,50,2.5,63,0.0019983562495341266
20Ah,50,2.5,64,0.002676379389662091
20Ah,50,2.5,65,0.001056898752432473
20Ah,50,2.5,66,0.0024591193723762857
20Ah,50,2.5,67,0.0015169087955515406
20Ah,50,2.5,68,0.001041055706053263
20Ah,50,2.5,69,0.0028515913892147066
20Ah,50,2.5,70,0.0006881502258135188
20Ah,50,2.5,71,0.001306223361356032
20Ah,50,2.5,72,0.002394641333894203
20Ah,50,2.5,73,0.00035481543943372115
20Ah,50,2.5,74,0.0010356740401348341
20Ah,50,2.5,75,0.0014206224030746976
20Ah,50,2.5,76,0.0012035889346233674
20Ah,50,2.5,77,0.0024875694551968483
20Ah,50,2.5,78,0.0021777560859856672
20Ah,50,2.5,79,0.00228572512881899
20Ah,50,2.5,80,0.0031245938905800634
20Ah,50,2.5,81,0.003170452600763336
20Ah,50,2.5,82,0.001843242436707451
20Ah,50,2.5,83,0.002387756001099196
20Ah,50,2.5,84,0.0018511843166152708
20Ah,50,2.5,85,0.0026055617481365594
20Ah,50,2.5,86,0.003952439652985938
20Ah,50,2.5,87,0.0018446995232817758
20Ah,50,2.5,88,0.0036813994109897437
20Ah,50,2.5,89,0.001364146151971975
20Ah,50,2.5,90,0.00278698461289147
20Ah,50,2.5,91,0.0023707056632792257
20Ah,50,2.5,92,0.0017402620926282384
20Ah,50,2.5,93,0.0028630679506106106
20Ah,50,2.5,94,0.0017549667739952392
20Ah,50,2.5,95,0.0028705727721249712
20Ah,50,2.5,96,0.0016660705618134742
20Ah,50,2.5,97,0.002778190113087362
20Ah,50,2.5,98,0.0025571165333580638
20Ah,50,2.5,99,0.0020979916071333406
68Ah,50,2.5,0,0.06176011990232099
68Ah,50,2.5,1,0.10530801544191797
68Ah,50,2.5,2,0.04618829484113803
68Ah,50,2.5,3,0.08603174976208901
68Ah,50,2.5,4,0.06146511091875837
68Ah,50,2.5,5,0.081124709455435
68Ah,50,2.5,6,0.10443659693241872
68Ah,50,2.5,7,0.09240129290323687
68Ah,50,2.5,8,0.11009475622669689
68Ah,50,2.5,9,0.07969440810902045
68Ah,50,2.5,10,0.10916754142917935
68Ah,50,2.5,11,0.0624595374312317
68Ah,50,2.5,12,0.05084624132369037
68Ah,50,2.5,13,0.0940429676654315
68Ah,50,2.5,14,0.10008802678727644
68Ah,50,2.5,15,0.12242210022968013
68Ah,50,2.5,16,0.09165988114146803
68Ah,50,2.5,17,0.03645032489681345
68Ah,50,2.5,18,0.12412676229063901
68Ah,50,2.5,19,0.06929246299426815
68Ah,50,2.5,20,0.08913601113726241
68Ah,50,2.5,21,0.10890471451732346
68Ah,50,2.5,22,0.13400732818571645
68Ah,50,2.5,23,0.09063742944303727
