"panel","capacity","pulse_type","soc_%","pearson_0-0.3","pearson_0-0.6","pearson_0-1.0"
"b","LFP 35Ah","single","25","-0.6153105657301277","-0.7581313729534332","-0.6463200216784024"
"b","LFP 35Ah","single","50","-0.8166094039833727","-0.8515740859504428","-0.8509946176758261"
"b","LFP 35Ah","single","75","-0.8054859197784143","-0.8506803203485246","-0.8095709066034111"
"c","LFP 68Ah","single","25","-0.8555019116793293","-0.8465538918578448","-0.7880741929203807"
"c","LFP 68Ah","single","50","-0.8163931341288982","-0.8295203538484066","-0.797833071182707"
"c","LFP 68Ah","single","75","-0.781307348738016","-0.8262352801009362","-0.8133863975236973"
"e","LFP 35Ah","combinational","25","-0.6225081808118292","-0.7362812093378485","-0.6406448529701456"
"e","LFP 35Ah","combinational","50","-0.8198318386734788","-0.8928773792847825","-0.8893833750563183"
"e","LFP 35Ah","combinational","75","-0.8690267139851446","-0.8902546378747475","-0.8395849471665544"
"f","LFP 68Ah","combinational","25","-0.8558652720392672","-0.8609569717851329","-0.7751588573798687"
"f","LFP 68Ah","combinational","50","-0.8294747679522901","-0.8496436261110362","-0.8104962087668995"
"f","LFP 68Ah","combinational","75","-0.7603107484846644","-0.8622434816166619","-0.8402624405071116"
