capacity,width_ms,soc_%,crate,d_raw,d_norm,mae
LFP 20Ah,30,5,0.5C,0.08660254037844387,0.0,0.0167219110222231
LFP 20Ah,30,5,1C,0.17320508075688773,0.015735709955218922,0.0152585928684338
LFP 20Ah,30,5,1.5C,0.2598076211353316,0.031471419910437844,0.0165931117610056
LFP 20Ah,30,5,2C,0.34641016151377546,0.04720712986565677,0.0158378720904562
LFP 20Ah,30,5,2.5C,0.4330127018922193,0.06294283982087569,0.0159049281353131
LFP 20Ah,30,10,0.5C,0.08660254037844387,0.0,0.0169666047946207
LFP 20Ah,30,10,1C,0.17320508075688773,0.015735709955218922,0.0164954756591589
LFP 20Ah,30,10,1.5C,0.2598076211353316,0.031471419910437844,0.0153270896271359
LFP 20Ah,30,10,2C,0.34641016151377546,0.04720712986565677,0.0149577673174613
LFP 20Ah,30,10,2.5C,0.4330127018922193,0.06294283982087569,0.0151350954057625
LFP 20Ah,30,15,0.5C,0.08660254037844387,0.0,0.0180963677176956
LFP 20Ah,30,15,1C,0.17320508075688773,0.015735709955218922,0.0159702225138008
LFP 20Ah,30,15,1.5C,0.2598076211353316,0.031471419910437844,0.0158670133297159
LFP 20Ah,30,15,2C,0.34641016151377546,0.04720712986565677,0.0152731624095313
LFP 20Ah,30,15,2.5C,0.4330127018922193,0.06294283982087569,0.0151172757993343
LFP 20Ah,30,20,0.5C,0.08660254037844387,0.0,0.016342409164039
LFP 20Ah,30,20,1C,0.17320508075688773,0.015735709955218922,0.0149207277987618
LFP 20Ah,30,20,1.5C,0.2598076211353316,0.031471419910437844,0.0149105475130062
LFP 20Ah,30,20,2C,0.34641016151377546,0.04720712986565677,0.0147011304459995
LFP 20Ah,30,20,2.5C,0.4330127018922193,0.06294283982087569,0.0150793660559491
LFP 20Ah,30,25,0.5C,0.08660254037844387,0.0,0.0150716497763802
LFP 20Ah,30,25,1C,0.17320508075688773,0.015735709955218922,0.0147662331485259
LFP 20Ah,30,25,1.5C,0.2598076211353316,0.031471419910437844,0.014336352342053
LFP 20Ah,30,25,2C,0.34641016151377546,0.04720712986565677,0.0147867376185798
LFP 20Ah,30,25,2.5C,0.4330127018922193,0.06294283982087569,0.0145881590057967
LFP 20Ah,30,30,0.5C,0.08660254037844387,0.0,0.0160156573960826
LFP 20Ah,30,30,1C,0.17320508075688773,0.015735709955218922,0.0148097628161385
LFP 20Ah,30,30,1.5C,0.2598076211353316,0.031471419910437844,0.0134411885283175
LFP 20Ah,30,30,2C,0.34641016151377546,0.04720712986565677,0.0138419218039918
LFP 20Ah,30,30,2.5C,0.4330127018922193,0.06294283982087569,0.0141216921838149
LFP 20Ah,30,35,0.5C,0.08660254037844387,0.0,0.013541506035621
LFP 20Ah,30,35,1C,0.17320508075688773,0.015735709955218922,0.0143005180655824
LFP 20Ah,30,35,1.5C,0.2598076211353316,0.031471419910437844,0.0136877647293896
LFP 20Ah,30,35,2C,0.34641016151377546,0.04720712986565677,0.0140136983632294
LFP 20Ah,30,35,2.5C,0.4330127018922193,0.06294283982087569,0.0137357041662359
LFP 20Ah,30,40,0.5C,0.08660254037844387,0.0,0.0167043307021586
LFP 20Ah,30,40,1C,0.17320508075688773,0.015735709955218922,0.016209716811306
LFP 20Ah,30,40,1.5C,0.2598076211353316,0.031471419910437844,0.0160352028050183
LFP 20Ah,30,40,2C,0.34641016151377546,0.04720712986565677,0.0149248348926516
LFP 20Ah,30,40,2.5C,0.4330127018922193,0.06294283982087569,0.0141636545091008
LFP 20Ah,30,45,0.5C,0.08660254037844387,0.0,0.0168760667311712
LFP 20Ah,30,45,1C,0.17320508075688773,0.015735709955218922,0.013637613173946
LFP 20Ah,30,45,1.5C,0.2598076211353316,0.031471419910437844,0.0143820239132313
LFP 20Ah,30,45,2C,0.34641016151377546,0.04720712986565677,0.014356300867854
LFP 20Ah,30,45,2.5C,0.4330127018922193,0.06294283982087569,0.0134226829964665
LFP 20Ah,30,50,0.5C,0.08660254037844387,0.0,0.0141530838612621
LFP 20Ah,30,50,1C,0.17320508075688773,0.015735709955218922,0.0141001868829131
LFP 20Ah,30,50,1.5C,0.2598076211353316,0.031471419910437844,0.01464293137195
LFP 20Ah,30,50,2C,0.34641016151377546,0.04720712986565677,0.013735787078956
LFP 20Ah,30,50,2.5C,0.4330127018922193,0.06294283982087569,0.0132403585420273
LFP 20Ah,30,55,0.5C,0.08660254037844387,0.0,0.0149318080581819
LFP 20Ah,30,55,1C,0.17320508075688773,0.015735709955218922,0.0143176199482879
LFP 20Ah,30,55,1.5C,0.2598076211353316,0.031471419910437844,0.0140952748842516
LFP 20Ah,30,55,2C,0.34641016151377546,0.04720712986565677,0.0146137110385494
LFP 20Ah,30,55,2.5C,0.4330127018922193,0.06294283982087569,0.0143670632229294
LFP 20Ah,30,60,0.5C,0.08660254037844387,0.0,0.0158598436094768
LFP 20Ah,30,60,1C,0.17320508075688773,0.015735709955218922,0.0152120741660389
LFP 20Ah,30,60,1.5C,0.2598076211353316,0.031471419910437844,0.0158790466771398
LFP 20Ah,30,60,2C,0.34641016151377546,0.04720712986565677,0.014778313790169
LFP 20Ah,30,60,2.5C,0.4330127018922193,0.06294283982087569,0.0150248567349145
LFP 20Ah,30,65,0.5C,0.08660254037844387,0.0,0.0143107971998939
LFP 20Ah,30,65,1C,0.17320508075688773,0.015735709955218922,0.0134408715193214
LFP 20Ah,30,65,1.5C,0.2598076211353316,0.031471419910437844,0.0133838510117286
LFP 20Ah,30,65,2C,0.34641016151377546,0.04720712986565677,0.0138307197283799
LFP 20Ah,30,65,2.5C,0.4330127018922193,0.06294283982087569,0.0135009565587205
LFP 20Ah,30,70,0.5C,0.08660254037844387,0.0,0.011567993442372
LFP 20Ah,30,70,1C,0.17320508075688773,0.015735709955218922,0.0112839682485537
LFP 20Ah,30,70,1.5C,0.2598076211353316,0.031471419910437844,0.010960579440943
LFP 20Ah,30,70,2C,0.34641016151377546,0.04720712986565677,0.0106782144181459
LFP 20Ah,30,70,2.5C,0.4330127018922193,0.06294283982087569,0.0107895294843969
LFP 20Ah,30,75,0.5C,0.08660254037844387,0.0,0.0031655122355716
LFP 20Ah,30,75,1C,0.17320508075688773,0.015735709955218922,0.0034806825510552
LFP 20Ah,30,75,1.5C,0.2598076211353316,0.031471419910437844,0.0034663148283938
LFP 20Ah,30,75,2C,0.34641016151377546,0.04720712986565677,0.0030431341901741
LFP 20Ah,30,75,2.5C,0.4330127018922193,0.06294283982087569,0.0033429713187621
LFP 20Ah,50,5,0.5C,0.11180339887498948,0.004579004243885458,0.0150918582997651
