plot_component,source,material,model,feature_strategy,feature_strategy_short,scenario_group_type,scenario_group,selected_feature,case_name,mae_test_median,mae_test_std
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.014957767,0.002179431
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.003466315,0.001687326
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.016721911,0.002312146
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.014920728,0.002181013
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.014588159,0.002102977
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.016876067,0.002391663
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.015212074,0.002302555
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.013500957,0.002210299
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.015781389,0.00228347
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1.5C,fai_irrev_1.5C,single__fai_irrev_1.5C,0.013687765,0.001794511
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.013735787,0.001773204
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.015934233,0.00241374
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.003043134,0.001786587
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.011567993,0.001948057
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2C,fai_irrev_2C,single__fai_irrev_2C,0.014013698,0.001884129
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_2.5C,fai_irrev_2.5C,single__fai_irrev_2.5C,0.013240359,0.001862231
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_0.5C,fai_irrev_0.5C,single__fai_irrev_0.5C,0.016015657,0.002208345
violin_raw_points,single,20Ah LFP,linear,Single feature,Single,,fai_irrev_1C,fai_irrev_1C,single__fai_irrev_1C,0.015258593,0.002267315
